added,ccode,homebranch,location
26,,ATCHISON,
2,BIOGRAPHY,ATCHISON,ADULT
3,BIOGRAPHY,ATCHISON,CHILDRENS
2,CAKEPAN,ATCHISON,ADULT
9,DVD,ATCHISON,ADULT
18,EASY,ATCHISON,CHILDRENS
1,FICTION,ATCHISON,
33,FICTION,ATCHISON,ADULT
8,FICTION,ATCHISON,CHILDRENS
57,FICTION,ATCHISON,YOUNGADULT
27,GRAPHIC,ATCHISON,YOUNGADULT
7,KANSAS,ATCHISON,ADULT
22,LARGEPRINT,ATCHISON,ADULT
23,MYSTERY,ATCHISON,ADULT
31,NONFICTION,ATCHISON,ADULT
14,NONFICTION,ATCHISON,CHILDRENS
4,NONFICTION,ATCHISON,YOUNGADULT
11,READER,ATCHISON,CHILDRENS
43,SF-FANT,ATCHISON,ADULT
6,SF-FANT,ATCHISON,YOUNGADULT

68,,BALDWIN,
12,BOOKONCD,BALDWIN,ADULT
10,DVD,BALDWIN,ADULT
2,DVD,BALDWIN,CHILDRENS
49,FICTION,BALDWIN,ADULT
3,MAGAZINE,BALDWIN,
1,MAGAZINE,BALDWIN,ADULT
1,MUSIC,BALDWIN,ADULT
7,NONFICTION,BALDWIN,ADULT
7,NONFICTION,BALDWIN,CHILDRENS
1,NONFICTION,BALDWIN,YOUNGADULT
1,READER,BALDWIN,CHILDRENS

16,BIOGRAPHY,BASEHOR,ADULT
3,BIOGRAPHY,BASEHOR,CHILDRENS
1,BIOGRAPHY,BASEHOR,YOUNGADULT
1,BOARDBK,BASEHOR,ADULT
26,BOOKONCD,BASEHOR,ADULT
7,BOOKONCD,BASEHOR,CHILDRENS
1,BOOKONCD,BASEHOR,YOUNGADULT
118,DVD,BASEHOR,ADULT
26,DVD,BASEHOR,CHILDRENS
23,EASY,BASEHOR,CHILDRENS
82,FICTION,BASEHOR,ADULT
2,FICTION,BASEHOR,CATALOGING
44,FICTION,BASEHOR,CHILDRENS
62,FICTION,BASEHOR,YOUNGADULT
5,GRAPHIC,BASEHOR,CHILDRENS
20,GRAPHIC,BASEHOR,YOUNGADULT
20,LARGEPRINT,BASEHOR,ADULT
1,LARGEPRINT,BASEHOR,CATALOGING
77,MAGAZINE,BASEHOR,ADULT
20,MAGAZINE,BASEHOR,CHILDRENS
19,MAGAZINE,BASEHOR,YOUNGADULT
1,MUSIC,BASEHOR,ADULT
1,MYSTERY,BASEHOR,ADULT
85,NONFICTION,BASEHOR,ADULT
14,NONFICTION,BASEHOR,CHILDRENS
2,NONFICTION,BASEHOR,YOUNGADULT
1,ON-ORDER,BASEHOR,ADULT
19,ON-ORDER,BASEHOR,CATALOGING
6,PAPERBACK,BASEHOR,ADULT
2,READER,BASEHOR,CHILDRENS
1,VHS,BASEHOR,ADULT
2,WESTERN,BASEHOR,ADULT

2,BOOKONCD,BERN,ADULT
5,DVD,BERN,ADULT
1,DVD,BERN,CHILDRENS
2,FICTION,BERN,ADULT
5,FICTION,BERN,CHILDRENS
9,FICTION,BERN,YOUNGADULT
1,HOLIDAY,BERN,ADULT
19,INSPRATION,BERN,ADULT
2,LARGEPRINT,BERN,ADULT
1,MUSIC,BERN,ADULT
1,MYSTERY,BERN,ADULT
1,NONFICTION,BERN,ADULT
3,NONFICTION,BERN,CHILDRENS
8,READER,BERN,CHILDRENS
1,ROMANCE,BERN,ADULT

1,BIOGRAPHY,BONNERSPGS,ADULT
3,BIOGRAPHY,BONNERSPGS,CHILDRENS
17,BOOKONCD,BONNERSPGS,ADULT
3,BOOKONCD,BONNERSPGS,CHILDRENS
3,BOOKONCD,BONNERSPGS,YOUNGADULT
36,DVD,BONNERSPGS,ADULT
7,DVD,BONNERSPGS,CHILDRENS
8,EASY,BONNERSPGS,CHILDRENS
17,FICTION,BONNERSPGS,ADULT
6,FICTION,BONNERSPGS,CHILDRENS
30,FICTION,BONNERSPGS,YOUNGADULT
3,GENEALOGY,BONNERSPGS,ADULT
1,GRAPHIC,BONNERSPGS,ADULT
19,GRAPHIC,BONNERSPGS,CHILDRENS
64,GRAPHIC,BONNERSPGS,YOUNGADULT
7,KANSAS,BONNERSPGS,ADULT
13,LARGEPRINT,BONNERSPGS,ADULT
104,MAGAZINE,BONNERSPGS,ADULT
10,MAGAZINE,BONNERSPGS,CHILDRENS
1,MYSTERY,BONNERSPGS,ADULT
91,NEW,BONNERSPGS,ADULT
48,NONFICTION,BONNERSPGS,ADULT
3,NONFICTION,BONNERSPGS,CHILDRENS
2,NONFICTION,BONNERSPGS,YOUNGADULT
29,PAPERBACK,BONNERSPGS,ADULT
