branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",648,6438,98,133,57
"Baldwin City Public Library",351,3841,49,60,29
"Basehor Community Library",1035,6466,79,198,91
"Bern Community Library",33,155,1,8,2
"Bonner Springs City Library",721,8343,56,132,151
"Burlingame Community Library",105,625,16,18,10
"Carbondale City Library",123,690,20,15,9
"Centralia Community Library",45,214,3,4,0
"Corning City Library",7,133,0,3,11
"Digital Content",0,36,0,0,0
"Doniphan County Library - Elwood",31,388,12,6,128
"Doniphan County Library - Highland",69,449,1,10,31
"Doniphan County Library - Troy",154,945,12,24,146
"Doniphan County Library - Wathena",63,589,7,10,10
"Effingham Community Library",41,311,0,11,6
"Eudora Community Library",239,2153,36,30,30
"Everest, Barnes Reading Room",19,125,0,4,4
"Hiawatha, Morrill Public Library",354,2589,10,78,36
"Highland Community College",27,8770,1857,4,4
"Holton, Beck-Bookman Library",408,4000,42,96,37
"Horton Public Library",55,1188,8,12,23
"Lansing Community Library",419,3182,52,104,35
"Leavenworth Public Library",1181,14775,213,257,484
"Linwood Community Library",78,623,4,17,6
"Louisburg Library",0,538,4,0,0
"Lyndon Carnegie Library",120,965,3,25,6
"McLouth Public Library",38,551,6,4,4
"Meriden-Ozawkie Public Library",213,1649,10,39,7
"Northeast Kansas Library System",21,331,9,3,2
"Nortonville Public Library",55,512,7,9,9
"Osage City Library",297,2107,21,52,22
"Osawatomie Public Library",267,2729,16,44,20
"Oskaloosa Public Library",157,1215,3,25,13
"Ottawa Library",900,12058,78,203,126
"Overbrook Public Library",165,1167,12,19,17
"Paola Free Library",556,5283,44,81,79
"Perry-Lecompton Community Library",24,230,1,3,3
"Pomona Community Library",24,376,14,6,7
"Prairie Hills Schools - Axtell Public School",140,238,178,5,0
"Prairie Hills Schools - Sabetha Elementary School",367,571,438,3,0
"Prairie Hills Schools - Sabetha High School",43,343,239,7,0
"Prairie Hills Schools - Sabetha Middle School",148,225,188,1,0
"Prairie Hills Schools - Wetmore Academic Center",67,200,127,1,0
"Richmond Public Library",40,221,2,5,0
"Rossville Community Library",235,1331,18,45,8
"Sabetha, Mary Cotton Library",329,1911,11,70,1
"Seneca Free Library",313,1694,12,56,25
"Silver Lake Library",224,1078,18,35,15
"Tonganoxie Public Library",595,4853,68,106,77
"Valley Falls, Delaware Township Library",82,568,8,16,8
"Wellsville City Library",200,1129,16,20,4
"Wetmore Public Library",33,323,2,3,2
"Williamsburg Community Library",42,657,3,5,4
"Winchester Public Library",55,738,2,6,5
