LIBRARY,BORROWER_CATEGORY,"TOTAL BORROWERS","BORROWERS RENEWED LAST MONTH","BORROWERS ADDED LAST MONTH","BORROWERS DELETED LAST MONTH","THIS LIBRARY CAN ACCESS THIS CATEGORY"
"Atchison Public Library",Adult,4227,56,46,65,Yes
"Atchison Public Library","Adult temporary",,,,,
"Atchison Public Library","Adult-Digital only",,,,,
"Atchison Public Library","Book Club",6,,,,Yes
"Atchison Public Library",Child,843,14,8,11,Yes
"Atchison Public Library","College Student",262,3,7,1,Yes
"Atchison Public Library","For statistical purposes ",,,,,
"Atchison Public Library","Highland Community College Community Member",,,,,
"Atchison Public Library","Highland Community College Faculty",,,,,
"Atchison Public Library","Highland Community College Faculty Outreach",,,,,
"Atchison Public Library","Highland Community College Staff",,,,,
"Atchison Public Library","Highland Community College Student",,,,,
"Atchison Public Library","Highland Community College Student Outreach",,,,,
"Atchison Public Library",Homebound,8,1,,,Yes
"Atchison Public Library","Hoopla E-Content User",,,,,
"Atchison Public Library","Horton Family Other",,,,,
"Atchison Public Library","Horton Family User",,,,,
"Atchison Public Library","Horton Special User",,,,,
"Atchison Public Library","In-House Use by Library Staff (exempt)",6,,,,Yes
"Atchison Public Library","Interlibrary Loan (exempt-ILL)",10,,,,Yes
"Atchison Public Library","Library associate (exempt)",20,,,,Yes
"Atchison Public Library","Library Associate.",,,,,
"Atchison Public Library","Library Board",1,,,,Yes
"Atchison Public Library","Minor - 0-11",3,,,,Yes
"Atchison Public Library","Minor - 12",26,,,,Yes
"Atchison Public Library","Minor - 13-17",181,,1,1,Yes
"Atchison Public Library","Minor temporary",,,,,
"Atchison Public Library","Minor-Digital only (age 00-11)",,,,,
"Atchison Public Library","Minor-Digital only (age 00-17)",,,,,
"Atchison Public Library","Minor-Digital only (age 12)",,,,,
"Atchison Public Library","Minor-Digital only (ages 13-17)",,,,,
"Atchison Public Library","Osawatomie Student User",,,,,
"Atchison Public Library","Other Adult",732,12,1,14,Yes
"Atchison Public Library","Other Child",61,,,3,Yes
"Atchison Public Library","Self registerd",1,,1,,Yes
"Atchison Public Library","Student - Public Library",,,,,
"Atchison Public Library","Student (exempt)",,,,,
"Atchison Public Library","SYSTEM login only (exempt)",7,,,,
"Atchison Public Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Atchison Public Library","Teacher/Faculty/Administrator (exempt)",12,,,,Yes
"Baldwin City Public Library",Adult,2041,32,15,23,Yes
"Baldwin City Public Library","Adult temporary",,,,,
"Baldwin City Public Library","Adult-Digital only",,,,,
"Baldwin City Public Library","Book Club",,,,,Yes
"Baldwin City Public Library",Child,389,6,3,6,Yes
"Baldwin City Public Library","College Student",163,1,3,,Yes
"Baldwin City Public Library","For statistical purposes ",16,,,,Yes
"Baldwin City Public Library","Highland Community College Community Member",,,,,
"Baldwin City Public Library","Highland Community College Faculty",,,,,
"Baldwin City Public Library","Highland Community College Faculty Outreach",,,,,
"Baldwin City Public Library","Highland Community College Staff",,,,,
"Baldwin City Public Library","Highland Community College Student",,,,,
"Baldwin City Public Library","Highland Community College Student Outreach",,,,,
"Baldwin City Public Library",Homebound,5,,,,Yes
"Baldwin City Public Library","Hoopla E-Content User",,,,,
"Baldwin City Public Library","Horton Family Other",,,,,
"Baldwin City Public Library","Horton Family User",,,,,
"Baldwin City Public Library","Horton Special User",,,,,
"Baldwin City Public Library","In-House Use by Library Staff (exempt)",,,,,
"Baldwin City Public Library","Interlibrary Loan (exempt-ILL)",3,,,,Yes
"Baldwin City Public Library","Library associate (exempt)",17,1,,,Yes
"Baldwin City Public Library","Library Associate.",,,,,
"Baldwin City Public Library","Library Board",3,,,,Yes
"Baldwin City Public Library","Minor - 0-11",,,,,
"Baldwin City Public Library","Minor - 12",,,,,
"Baldwin City Public Library","Minor - 13-17",,,,,
"Baldwin City Public Library","Minor temporary",,,,,
"Baldwin City Public Library","Minor-Digital only (age 00-11)",,,,,
"Baldwin City Public Library","Minor-Digital only (age 00-17)",,,,,
"Baldwin City Public Library","Minor-Digital only (age 12)",,,,,
"Baldwin City Public Library","Minor-Digital only (ages 13-17)",,,,,
"Baldwin City Public Library","Osawatomie Student User",,,,,
"Baldwin City Public Library","Other Adult",1014,15,7,4,Yes
"Baldwin City Public Library","Other Child",182,3,4,1,Yes
"Baldwin City Public Library","Self registerd",1,,,,Yes
"Baldwin City Public Library","Student - Public Library",,,,,
"Baldwin City Public Library","Student (exempt)",,,,,
"Baldwin City Public Library","SYSTEM login only (exempt)",4,,,,
"Baldwin City Public Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Baldwin City Public Library","Teacher/Faculty/Administrator (exempt)",2,,1,,Yes
"Basehor Community Library",Adult,4644,105,50,48,Yes
"Basehor Community Library","Adult temporary",,,,,
"Basehor Community Library","Adult-Digital only",,,,,
"Basehor Community Library","Book Club",,,,,Yes
"Basehor Community Library",Child,1316,27,16,25,Yes
"Basehor Community Library","College Student",,,,,
"Basehor Community Library","For statistical purposes ",1,,,,Yes
"Basehor Community Library","Highland Community College Community Member",,,,,
"Basehor Community Library","Highland Community College Faculty",,,,,
"Basehor Community Library","Highland Community College Faculty Outreach",,,,,
"Basehor Community Library","Highland Community College Staff",1,,,,
"Basehor Community Library","Highland Community College Student",,,,,
"Basehor Community Library","Highland Community College Student Outreach",,,,,
"Basehor Community Library",Homebound,,,,,
"Basehor Community Library","Hoopla E-Content User",,,,,
"Basehor Community Library","Horton Family Other",,,,,
"Basehor Community Library","Horton Family User",,,,,
"Basehor Community Library","Horton Special User",,,,,
"Basehor Community Library","In-House Use by Library Staff (exempt)",7,,,,Yes
"Basehor Community Library","Interlibrary Loan (exempt-ILL)",3,,,,Yes
"Basehor Community Library","Library associate (exempt)",1,,,,Yes
"Basehor Community Library","Library Associate.",,,,,
"Basehor Community Library","Library Board",,,,,
"Basehor Community Library","Minor - 0-11",1,,,,
"Basehor Community Library","Minor - 12",,,,,
"Basehor Community Library","Minor - 13-17",3,,,,
"Basehor Community Library","Minor temporary",,,,,
"Basehor Community Library","Minor-Digital only (age 00-11)",,,,,
"Basehor Community Library","Minor-Digital only (age 00-17)",,,,,
"Basehor Community Library","Minor-Digital only (age 12)",,,,,
"Basehor Community Library","Minor-Digital only (ages 13-17)",,,,,
"Basehor Community Library","Osawatomie Student User",,,,,
"Basehor Community Library","Other Adult",428,12,,11,Yes
"Basehor Community Library","Other Child",29,2,,,Yes
"Basehor Community Library","Self registerd",,,,,Yes
"Basehor Community Library","Student - Public Library",,,,,
"Basehor Community Library","Student (exempt)",,,,,
"Basehor Community Library","SYSTEM login only (exempt)",13,,,,
"Basehor Community Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Basehor Community Library","Teacher/Faculty/Administrator (exempt)",2,,,,Yes
"Bern Community Library",Adult,102,4,,2,Yes
"Bern Community Library","Adult temporary",,,,,
"Bern Community Library","Adult-Digital only",,,,,
"Bern Community Library","Book Club",,,,,Yes
"Bern Community Library",Child,20,,,1,Yes
"Bern Community Library","College Student",,,,,
"Bern Community Library","For statistical purposes ",,,,,
"Bern Community Library","Highland Community College Community Member",,,,,
"Bern Community Library","Highland Community College Faculty",,,,,
"Bern Community Library","Highland Community College Faculty Outreach",,,,,
"Bern Community Library","Highland Community College Staff",,,,,
"Bern Community Library","Highland Community College Student",,,,,
"Bern Community Library","Highland Community College Student Outreach",,,,,
"Bern Community Library",Homebound,,,,,
"Bern Community Library","Hoopla E-Content User",,,,,
"Bern Community Library","Horton Family Other",,,,,
"Bern Community Library","Horton Family User",,,,,
"Bern Community Library","Horton Special User",,,,,
"Bern Community Library","In-House Use by Library Staff (exempt)",,,,,
"Bern Community Library","Interlibrary Loan (exempt-ILL)",1,,,,Yes
"Bern Community Library","Library associate (exempt)",,,,,
"Bern Community Library","Library Associate.",,,,,
"Bern Community Library","Library Board",,,,,
"Bern Community Library","Minor - 0-11",,,,,
"Bern Community Library","Minor - 12",,,,,
"Bern Community Library","Minor - 13-17",,,,,
"Bern Community Library","Minor temporary",,,,,
"Bern Community Library","Minor-Digital only (age 00-11)",,,,,
"Bern Community Library","Minor-Digital only (age 00-17)",,,,,
"Bern Community Library","Minor-Digital only (age 12)",,,,,
"Bern Community Library","Minor-Digital only (ages 13-17)",,,,,
"Bern Community Library","Osawatomie Student User",,,,,
"Bern Community Library","Other Adult",20,,,,Yes
"Bern Community Library","Other Child",2,,,,Yes
"Bern Community Library","Self registerd",,,,,Yes
"Bern Community Library","Student - Public Library",,,,,
"Bern Community Library","Student (exempt)",,,,,
"Bern Community Library","SYSTEM login only (exempt)",3,,,,
"Bern Community Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Bern Community Library","Teacher/Faculty/Administrator (exempt)",5,,,,Yes
"Bonner Springs City Library",Adult,5752,97,24,87,Yes
"Bonner Springs City Library","Adult temporary",,,,,
"Bonner Springs City Library","Adult-Digital only",1,,,,Yes
"Bonner Springs City Library","Book Club",2,,,,Yes
"Bonner Springs City Library",Child,1879,14,14,52,Yes
"Bonner Springs City Library","College Student",,,,,
"Bonner Springs City Library","For statistical purposes ",,,,,
"Bonner Springs City Library","Highland Community College Community Member",,,,,
"Bonner Springs City Library","Highland Community College Faculty",,,,,
"Bonner Springs City Library","Highland Community College Faculty Outreach",,,,,
"Bonner Springs City Library","Highland Community College Staff",,,,,
"Bonner Springs City Library","Highland Community College Student",,,,,
"Bonner Springs City Library","Highland Community College Student Outreach",,,,,
"Bonner Springs City Library",Homebound,6,1,,,Yes
"Bonner Springs City Library","Hoopla E-Content User",,,,,
"Bonner Springs City Library","Horton Family Other",,,,,
"Bonner Springs City Library","Horton Family User",,,,,
"Bonner Springs City Library","Horton Special User",,,,,
"Bonner Springs City Library","In-House Use by Library Staff (exempt)",6,,,,Yes
"Bonner Springs City Library","Interlibrary Loan (exempt-ILL)",459,,2,,Yes
"Bonner Springs City Library","Library associate (exempt)",21,2,1,,Yes
"Bonner Springs City Library","Library Associate.",,,,,
"Bonner Springs City Library","Library Board",,,,,
"Bonner Springs City Library","Minor - 0-11",,,,,
"Bonner Springs City Library","Minor - 12",,,,,
"Bonner Springs City Library","Minor - 13-17",1,,,,
"Bonner Springs City Library","Minor temporary",,,,,
"Bonner Springs City Library","Minor-Digital only (age 00-11)",,,,,
"Bonner Springs City Library","Minor-Digital only (age 00-17)",,,,,Yes
"Bonner Springs City Library","Minor-Digital only (age 12)",,,,,
"Bonner Springs City Library","Minor-Digital only (ages 13-17)",,,,,
"Bonner Springs City Library","Osawatomie Student User",,,,,
"Bonner Springs City Library","Other Adult",99,,1,5,Yes
"Bonner Springs City Library","Other Child",1,,,1,Yes
"Bonner Springs City Library","Self registerd",,,,,Yes
"Bonner Springs City Library","Student - Public Library",,,,,
"Bonner Springs City Library","Student (exempt)",1,,,,
"Bonner Springs City Library","SYSTEM login only (exempt)",6,,,,
"Bonner Springs City Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Bonner Springs City Library","Teacher/Faculty/Administrator (exempt)",14,,,,Yes
"Burlingame Community Library",Adult,475,16,8,5,Yes
"Burlingame Community Library","Adult temporary",,,,,
"Burlingame Community Library","Adult-Digital only",,,,,
"Burlingame Community Library","Book Club",2,,,,Yes
"Burlingame Community Library",Child,141,1,3,5,Yes
"Burlingame Community Library","College Student",,,,,
"Burlingame Community Library","For statistical purposes ",,,,,
"Burlingame Community Library","Highland Community College Community Member",,,,,
