branchname,ZIP_CODE,BORROWER_COUNT,RENEWED_LM,ADDED_LM,DELETED_LM
"Atchison Public Library",-,3,,1,
"Atchison Public Library",0,53,1,2,
"Atchison Public Library",64079,2,,,
"Atchison Public Library",64098,5,,,
"Atchison Public Library",64114,1,,,
"Atchison Public Library",64118,2,,,
"Atchison Public Library",64133,1,,,
"Atchison Public Library",64151,1,,,
"Atchison Public Library",64152,2,,,
"Atchison Public Library",64440,17,,,2
"Atchison Public Library",64484,111,1,2,3
"Atchison Public Library",64501,6,,,
"Atchison Public Library",64503,4,,,
"Atchison Public Library",64504,7,,,1
"Atchison Public Library",64505,3,1,,
"Atchison Public Library",64506,8,,,
"Atchison Public Library",64507,6,,,
"Atchison Public Library",66002,5535,74,55,70
"Atchison Public Library",66007,1,,,
"Atchison Public Library",66008,13,,,
"Atchison Public Library",66012,2,,,1
"Atchison Public Library",66016,116,2,,1
"Atchison Public Library",66017,12,,,
"Atchison Public Library",66020,18,,,2
"Atchison Public Library",66023,79,2,,2
"Atchison Public Library",66027,1,,,
"Atchison Public Library",66035,9,,,1
"Atchison Public Library",66041,112,1,,1
"Atchison Public Library",66043,5,,,
"Atchison Public Library",66044,10,,,
"Atchison Public Library",66046,0,,,1
"Atchison Public Library",66048,31,2,,4
"Atchison Public Library",66049,6,,,
"Atchison Public Library",66053,1,,,
"Atchison Public Library",66058,21,,,
"Atchison Public Library",66060,31,1,,1
"Atchison Public Library",66061,3,,,
"Atchison Public Library",66067,1,,,
"Atchison Public Library",66072,1,,,
"Atchison Public Library",66087,11,,,
"Atchison Public Library",66088,11,1,,1
"Atchison Public Library",66090,4,,,1
"Atchison Public Library",66097,8,,,
"Atchison Public Library",66101,1,,,
"Atchison Public Library",66104,1,,,
"Atchison Public Library",66106,1,,,
"Atchison Public Library",66109,2,,,
"Atchison Public Library",66113,1,,,
"Atchison Public Library",66203,1,,,
"Atchison Public Library",66205,1,,,
"Atchison Public Library",66210,2,,,
"Atchison Public Library",66212,1,,,
"Atchison Public Library",66213,1,,,
"Atchison Public Library",66214,1,,,
"Atchison Public Library",66215,2,,,
"Atchison Public Library",66216,2,,,
"Atchison Public Library",66422,1,,,
"Atchison Public Library",66424,22,,,
"Atchison Public Library",66434,1,,,
"Atchison Public Library",66436,5,,,
"Atchison Public Library",66439,11,,1,
"Atchison Public Library",66509,3,,,
"Atchison Public Library",66512,1,,,
"Atchison Public Library",66523,1,,,
"Atchison Public Library",66532,6,,,
"Atchison Public Library",66534,2,,,
"Atchison Public Library",66552,1,,,
"Atchison Public Library",66604,2,,,
"Atchison Public Library",66606,1,,,
"Atchison Public Library",66614,1,,,
"Atchison Public Library",66618,1,,,
"Atchison Public Library",66619,1,,,
"Atchison Public Library",66945,1,,,
"Atchison Public Library",67052,1,,,
"Atchison Public Library",67212,1,,,
"Atchison Public Library",67401,0,,,1
"Baldwin City Public Library",-,3,,,
"Baldwin City Public Library",0,57,,2,
"Baldwin City Public Library",64133,2,,,
"Baldwin City Public Library",64152,1,,,
"Baldwin City Public Library",66006,3232,48,28,30
"Baldwin City Public Library",66007,3,,,
"Baldwin City Public Library",66014,1,,,
"Baldwin City Public Library",66018,1,,,
"Baldwin City Public Library",66021,33,,,1
"Baldwin City Public Library",66025,52,4,,
"Baldwin City Public Library",66030,14,1,,
"Baldwin City Public Library",66032,1,,,
"Baldwin City Public Library",66043,1,,,
"Baldwin City Public Library",66044,32,,,
"Baldwin City Public Library",66046,50,1,,
"Baldwin City Public Library",66047,36,,,2
"Baldwin City Public Library",66048,2,,,
"Baldwin City Public Library",66049,20,,,
"Baldwin City Public Library",66050,1,,,
"Baldwin City Public Library",66053,1,,,
"Baldwin City Public Library",66060,1,,,
"Baldwin City Public Library",66061,9,,,
"Baldwin City Public Library",66062,3,1,,
"Baldwin City Public Library",66064,2,,,
"Baldwin City Public Library",66067,56,1,1,1
"Baldwin City Public Library",66070,1,,,
"Baldwin City Public Library",66071,3,,,
"Baldwin City Public Library",66076,6,,,
"Baldwin City Public Library",66079,2,,,
"Baldwin City Public Library",66083,2,,,
"Baldwin City Public Library",66086,2,,,
"Baldwin City Public Library",66088,2,,,
"Baldwin City Public Library",66092,95,1,2,
"Baldwin City Public Library",66101,1,,,
"Baldwin City Public Library",66102,1,,,
"Baldwin City Public Library",66104,1,,,
"Baldwin City Public Library",66109,2,,,
"Baldwin City Public Library",66112,1,,,
"Baldwin City Public Library",66202,2,,,
"Baldwin City Public Library",66203,1,,,
"Baldwin City Public Library",66205,1,,,
"Baldwin City Public Library",66212,5,,,
"Baldwin City Public Library",66213,1,,,
"Baldwin City Public Library",66214,2,,,
"Baldwin City Public Library",66216,1,,,
"Baldwin City Public Library",66219,1,,,
"Baldwin City Public Library",66223,2,,,
"Baldwin City Public Library",66226,1,,,
"Baldwin City Public Library",66409,1,,,
"Baldwin City Public Library",66434,2,1,,
"Baldwin City Public Library",66503,1,,,
"Baldwin City Public Library",66524,42,,,
"Baldwin City Public Library",66528,1,,,
"Baldwin City Public Library",66532,1,,,
"Baldwin City Public Library",66542,1,,,
"Baldwin City Public Library",66604,1,,,
"Baldwin City Public Library",66605,1,,,
"Baldwin City Public Library",66610,2,,,
"Baldwin City Public Library",66614,2,,,
"Baldwin City Public Library",66856,2,,,
"Baldwin City Public Library",66860,1,,,
"Baldwin City Public Library",67002,1,,,
"Baldwin City Public Library",67026,1,,,
"Baldwin City Public Library",67037,1,,,
"Baldwin City Public Library",67063,1,,,
"Baldwin City Public Library",67114,1,,,
"Baldwin City Public Library",67460,1,,,
"Baldwin City Public Library",67878,1,,,
"Basehor Community Library",-,6,,,
"Basehor Community Library",0,71,1,,
"Basehor Community Library",64079,1,,,
"Basehor Community Library",64114,1,,,
"Basehor Community Library",64152,2,,,1
"Basehor Community Library",64506,1,,,
"Basehor Community Library",66002,2,,,
"Basehor Community Library",66007,4068,93,49,46
"Basehor Community Library",66012,495,15,3,4
"Basehor Community Library",66016,1,,,
"Basehor Community Library",66018,5,,,1
"Basehor Community Library",66019,2,,,
"Basehor Community Library",66020,3,,,
"Basehor Community Library",66025,2,,,
"Basehor Community Library",66027,2,,,
"Basehor Community Library",66030,1,,,
"Basehor Community Library",66032,1,,,
"Basehor Community Library",66040,1,,,
"Basehor Community Library",66043,57,,1,
"Basehor Community Library",66044,19,,,1
"Basehor Community Library",66046,7,,,
"Basehor Community Library",66047,1,,,
"Basehor Community Library",66048,211,6,3,3
"Basehor Community Library",66049,16,,,1
"Basehor Community Library",66050,1,,,
"Basehor Community Library",66052,59,1,,2
"Basehor Community Library",66053,2,,,
"Basehor Community Library",66054,24,1,,
"Basehor Community Library",66061,6,,,
"Basehor Community Library",66062,5,,,
"Basehor Community Library",66066,1,,,
"Basehor Community Library",66073,3,,,
"Basehor Community Library",66086,637,16,6,13
"Basehor Community Library",66087,1,,,
"Basehor Community Library",66088,2,,,
"Basehor Community Library",66092,1,,,
"Basehor Community Library",66101,1,,,
"Basehor Community Library",66102,17,,,
"Basehor Community Library",66103,5,,,
"Basehor Community Library",66104,11,,,1
"Basehor Community Library",66105,2,,,
"Basehor Community Library",66106,12,,,
"Basehor Community Library",66109,474,9,3,9
"Basehor Community Library",66111,39,,,
"Basehor Community Library",66112,18,3,,
"Basehor Community Library",66113,9,,,
"Basehor Community Library",66202,1,,,
"Basehor Community Library",66203,7,,,
"Basehor Community Library",66204,3,,,
"Basehor Community Library",66205,3,,,
"Basehor Community Library",66210,2,,,
"Basehor Community Library",66212,7,,,
"Basehor Community Library",66213,3,,,
"Basehor Community Library",66215,10,,,
"Basehor Community Library",66216,8,,,
"Basehor Community Library",66217,3,,,
"Basehor Community Library",66218,19,,1,2
