branchname,M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_09,M_10,M_11,M_12,LAST_12
"- Date range -","2022-09 (September)","2022-08 (August)","2022-07 (July)","2022-06 (June)","2022-05 (May)","2022-04 (April)","2022-03 (March)","2022-02 (February)","2022-01 (January)","2021-12 (December)","2021-11 (November)","2021-10 (October)","Previous 12 calendar months"
"Atchison Public Library",591,648,669,749,605,568,579,509,537,535,552,522,1822
"Baldwin City Public Library",331,351,372,409,327,305,313,265,258,254,276,277,1007
"Basehor Community Library",897,1034,1072,1119,899,831,885,806,827,750,828,857,2714
"Bern Community Library",24,33,29,32,17,22,19,12,15,21,21,24,62
"Bonner Springs City Library",641,721,800,806,605,561,617,561,583,564,563,603,2178
"Burlingame Community Library",108,105,85,79,64,69,73,66,72,78,70,64,247
"Carbondale City Library",112,123,120,126,108,103,124,93,104,99,99,105,381
"Centralia Community Library",44,45,48,67,40,40,44,35,33,35,31,42,111
"Corning City Library",6,7,13,42,4,9,3,1,6,4,6,8,51
"Digital Content",,,,,,,,,,,1,,1
"Doniphan County Library - Elwood",21,31,26,26,27,17,26,16,20,23,25,22,109
"Doniphan County Library - Highland",48,69,62,68,61,50,45,46,41,44,55,55,176
"Doniphan County Library - Troy",145,154,160,146,116,115,117,96,96,93,108,115,418
"Doniphan County Library - Wathena",57,63,66,84,65,65,64,53,63,43,62,61,210
"Effingham Community Library",44,41,46,46,28,28,27,23,29,30,27,26,93
"Eudora Community Library",237,239,257,247,237,183,189,177,186,180,175,203,634
"Everest, Barnes Reading Room",29,19,19,22,22,22,22,23,22,22,21,25,71
"Hiawatha, Morrill Public Library",308,354,359,363,332,297,333,279,274,281,288,342,941
"Highland Community College",50,27,4,7,14,13,20,13,9,13,27,39,157
"Holton, Beck-Bookman Library",362,408,364,419,365,354,371,338,353,330,336,326,1174
"Horton Public Library",28,54,43,39,26,22,23,28,24,27,37,38,177
"Lansing Community Library",370,419,430,443,337,309,321,205,322,281,307,297,1168
"Leavenworth Public Library",978,1181,1148,1084,940,940,1015,888,842,904,930,975,3415
"Linwood Community Library",77,78,93,103,97,84,81,66,62,85,95,92,303
"Louisburg Library",,,,,,,,,,,,,
"Lyndon Carnegie Library",97,120,114,127,112,104,102,90,94,106,103,102,324
"McLouth Public Library",51,38,42,59,43,41,43,40,36,46,46,46,170
"Meriden-Ozawkie Public Library",192,213,222,285,231,192,196,184,192,190,189,190,562
"Northeast Kansas Library System",8,21,35,14,10,11,9,14,10,11,17,7,92
"Nortonville Public Library",38,55,54,69,49,34,42,38,31,38,49,43,157
"Osage City Library",297,297,319,344,312,287,298,272,268,272,271,298,873
"Osawatomie Public Library",224,267,258,268,222,239,228,262,291,244,252,285,816
"Oskaloosa Public Library",152,157,165,174,146,147,142,130,143,145,144,141,425
"Ottawa Library",783,900,943,984,788,665,751,647,640,615,681,690,2451
"Overbrook Public Library",153,165,180,181,155,136,150,144,139,139,129,141,432
"Paola Free Library",522,556,609,590,483,403,415,373,383,360,413,432,1609
"Perry-Lecompton Community Library",21,24,48,63,28,19,18,18,19,13,18,18,100
"Pomona Community Library",26,24,30,32,22,26,37,27,28,24,25,46,137
"Prairie Hills Schools - Axtell Public School",114,140,,1,51,99,96,88,132,87,104,122,206
"Prairie Hills Schools - Sabetha Elementary School",381,367,,,6,328,333,356,362,342,366,373,507
"Prairie Hills Schools - Sabetha High School",41,43,,,4,14,25,71,48,10,14,40,209
"Prairie Hills Schools - Sabetha Middle School",115,148,,,19,84,68,59,98,53,117,111,227
"Prairie Hills Schools - Wetmore Academic Center",72,67,,,8,86,86,93,89,70,73,68,152
"Richmond Public Library",38,40,41,51,40,48,43,40,37,39,33,24,96
"Rossville Community Library",206,235,229,238,234,212,207,187,193,184,196,203,565
"Sabetha, Mary Cotton Library",298,329,309,340,309,274,295,279,271,255,270,284,789
"Seneca Free Library",243,313,343,368,331,253,274,250,234,216,226,239,799
"Silver Lake Library",212,224,209,212,201,180,181,167,174,171,171,184,445
"Tonganoxie Public Library",499,595,628,645,556,472,486,406,409,407,419,413,1689
"Valley Falls, Delaware Township Library",77,82,74,79,72,70,69,56,63,67,56,64,227
"Wellsville City Library",183,200,198,217,224,150,168,150,137,143,166,145,509
"Wetmore Public Library",35,33,30,42,50,25,31,23,22,28,25,22,105
"Williamsburg Community Library",37,42,43,49,33,38,38,26,30,29,31,36,150
"Winchester Public Library",52,55,62,73,71,63,67,63,65,56,46,48,219
