branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",596,6431,98,105,71
"Baldwin City Public Library",312,3837,17,55,22
"Basehor Community Library",926,6397,49,155,103
"Bern Community Library",19,154,1,5,0
"Bonner Springs City Library",660,8214,77,131,108
"Burlingame Community Library",108,618,8,16,16
"Carbondale City Library",109,700,14,15,8
"Centralia Community Library",39,216,1,8,0
"Corning City Library",3,132,0,0,0
"Digital Content",0,35,0,0,0
"Doniphan County Library - Elwood",19,378,0,6,9
"Doniphan County Library - Highland",54,438,7,7,6
"Doniphan County Library - Troy",162,921,6,20,16
"Doniphan County Library - Wathena",62,556,5,13,29
"Effingham Community Library",40,306,2,4,1
"Eudora Community Library",215,1776,14,21,429
"Everest, Barnes Reading Room",27,126,1,3,0
"Hiawatha, Morrill Public Library",310,2557,22,57,43
"Highland Community College",39,9212,632,3,1
"Holton, Beck-Bookman Library",366,3996,39,68,41
"Horton Public Library",34,1181,8,8,13
"Lansing Community Library",311,3104,18,40,41
"Leavenworth Public Library",1043,14514,130,238,315
"Linwood Community Library",73,611,6,10,8
"Louisburg Library",0,549,6,1,0
"Lyndon Carnegie Library",111,955,8,17,10
"McLouth Public Library",41,575,7,5,11
"Meriden-Ozawkie Public Library",182,1652,7,44,8
"Northeast Kansas Library System",9,310,6,0,1
"Nortonville Public Library",33,502,0,7,3
"Osage City Library",289,1956,18,52,21
"Osawatomie Public Library",210,2704,10,32,27
"Oskaloosa Public Library",164,1197,13,36,21
"Ottawa Library",779,8967,67,162,3108
"Overbrook Public Library",146,1156,8,27,12
"Paola Free Library",480,5230,31,75,66
"Perry-Lecompton Community Library",20,227,0,4,4
"Pomona Community Library",20,371,2,10,4
"Prairie Hills Schools - Axtell Public School",122,235,1,0,1
"Prairie Hills Schools - Sabetha Elementary School",363,570,0,1,1
"Prairie Hills Schools - Sabetha High School",20,337,0,1,0
"Prairie Hills Schools - Sabetha Middle School",99,216,0,1,1
"Prairie Hills Schools - Wetmore Academic Center",84,190,0,0,0
"Richmond Public Library",40,221,3,9,3
"Rossville Community Library",220,1326,9,29,15
"Sabetha, Mary Cotton Library",280,1933,10,42,0
"Seneca Free Library",233,1671,8,30,19
"Silver Lake Library",198,1075,8,32,12
"Tonganoxie Public Library",500,4833,47,82,57
"Valley Falls, Delaware Township Library",73,567,2,11,4
"Wellsville City Library",208,1131,10,27,5
"Wetmore Public Library",33,321,0,4,3
"Williamsburg Community Library",35,649,1,2,6
"Winchester Public Library",50,733,2,4,6
