BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",58782,59022,439,199,57941
"Baldwin City Public Library",25780,25894,161,46,25522
"Basehor Community Library",64413,64415,551,549,61911
"Bern Community Library",12402,12408,7,1,12131
"Bonner Springs City Library",61381,60514,535,1402,57982
"Burlingame Community Library",14988,14445,61,604,14299
"Carbondale City Library",11206,11071,104,239,10966
"Centralia Community Library",8084,8144,63,3,8059
"Corning City Library",5256,5254,0,2,5181
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2737,2750,20,7,2689
"Doniphan County Library - Highland",4275,4311,41,5,4160
"Doniphan County Library - Troy",11367,11407,73,33,11151
"Doniphan County Library - Wathena",7685,7697,74,62,7561
"Effingham Community Library",8577,8602,25,0,8502
"Eudora Community Library",16459,16599,163,23,16402
"Everest, Barnes Reading Room",12430,12452,23,1,12305
"Hiawatha, Morrill Public Library",30667,30694,39,12,30104
"Highland Community College",4398,4399,7,6,4136
"Holton, Beck-Bookman Library",25346,25393,88,41,24831
"Horton Public Library",14258,14242,59,75,13718
"Lansing Community Library",22677,22813,154,18,22450
"Leavenworth Public Library",88008,88252,541,297,81723
"Linwood Community Library",11892,11946,58,4,11825
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13603,13727,131,7,13499
"McLouth Public Library",3845,3887,44,2,3877
"Meriden-Ozawkie Public Library",16148,16229,113,32,16085
"Northeast Kansas Library System",752,764,12,0,696
"Nortonville Public Library",18329,18354,88,63,17866
"Osage City Library",23378,23397,158,139,23282
"Osawatomie Public Library",17295,17372,95,18,17227
"Oskaloosa Public Library",10641,10676,44,9,10461
"Ottawa Library",70030,70116,383,297,67842
"Overbrook Public Library",21662,21761,99,0,21410
"Paola Free Library",30796,30314,158,640,29176
"Perry-Lecompton Community Library",12162,12321,169,10,12302
"Pomona Community Library",7690,7452,22,260,7291
"Prairie Hills Schools - Axtell Public School",12010,12068,78,20,10549
"Prairie Hills Schools - Sabetha Elementary School",16234,16322,95,7,13131
"Prairie Hills Schools - Sabetha High School",3792,3837,46,1,3640
"Prairie Hills Schools - Sabetha Middle School",4941,4950,9,0,4318
"Prairie Hills Schools - Wetmore Academic Center",13482,13531,53,4,9623
"Richmond Public Library",8048,8061,29,16,8020
"Rossville Community Library",15735,15792,92,35,15712
"Sabetha, Mary Cotton Library",30171,30046,96,221,29410
"Seneca Free Library",22813,22879,79,13,22794
"Silver Lake Library",11290,11399,116,7,10729
"Tonganoxie Public Library",27134,27261,246,119,26977
"Valley Falls, Delaware Township Library",10496,10658,164,2,10587
"Wellsville City Library",22946,23079,149,16,22396
"Wetmore Public Library",10969,11005,41,5,10914
"Williamsburg Community Library",14242,14225,40,57,14100
"Winchester Public Library",10705,10743,46,8,10543
