branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-24,2022-12-25,2022-12-26,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2022-12-31,"2022-12-01 - 2022-12-31"
" DAY",Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,-
"Atchison Public Library",66,43,25,5,65,42,45,54,50,40,4,60,43,55,69,51,21,2,73,61,57,21,39,6,2,26,56,41,46,47,11,512
"Baldwin City Public Library",21,32,20,1,35,33,31,15,19,14,2,42,25,34,28,31,22,1,39,37,35,2,4,3,4,4,51,33,34,28,9,278
"Basehor Community Library",71,8,58,46,89,98,89,80,49,48,32,75,77,73,60,68,40,31,75,106,96,10,45,5,10,42,68,77,73,63,33,816
"Bern Community Library",2,1,4,,2,,3,,,4,,1,,,2,1,4,,2,,3,,,,,,,5,,3,2,17
"Bonner Springs City Library",46,41,33,12,60,75,79,42,32,41,29,48,39,62,42,35,31,22,54,51,65,9,21,3,2,5,80,66,54,55,30,579
"Burlingame Community Library",5,14,14,,11,16,5,9,11,5,,13,11,14,9,6,5,,14,12,15,,1,,,,4,12,22,11,2,108
"Carbondale City Library",12,10,5,1,6,12,11,8,10,4,,10,5,11,9,14,6,,8,9,15,,2,,,1,12,14,14,9,,115
"Centralia Community Library",1,5,3,,6,,3,1,7,1,,7,,5,3,5,2,,9,,9,,,4,,,,13,4,7,,45
"Corning City Library",,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,3
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
