branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",995,979
"Baldwin City Public Library",375,376
"Basehor Community Library",874,947
"Bern Community Library",85,10
"Bonner Springs City Library",992,1053
"Burlingame Community Library",166,152
"Carbondale City Library",179,114
"Centralia Community Library",54,28
"Corning City Library",34,6
"Digital Content",0,0
"Doniphan County Library - Elwood",50,68
"Doniphan County Library - Highland",226,95
"Doniphan County Library - Troy",305,117
"Doniphan County Library - Wathena",193,56
"Effingham Community Library",112,27
"Eudora Community Library",432,409
"Everest, Barnes Reading Room",114,92
"Hiawatha, Morrill Public Library",367,492
"Highland Community College",74,3
"Holton, Beck-Bookman Library",350,455
"Horton Public Library",63,16
"Lansing Community Library",443,554
"Leavenworth Public Library",1119,1275
"Linwood Community Library",262,151
"Louisburg Library",0,0
"Lyndon Carnegie Library",164,150
"McLouth Public Library",63,35
"Meriden-Ozawkie Public Library",438,366
"Northeast Kansas Library System",42,31
"Nortonville Public Library",270,34
"Osage City Library",542,396
"Osawatomie Public Library",429,389
"Oskaloosa Public Library",100,212
"Ottawa Library",827,778
"Overbrook Public Library",528,192
"Paola Free Library",318,359
"Perry-Lecompton Community Library",168,83
"Pomona Community Library",108,110
"Prairie Hills Schools - Axtell Public School",71,50
"Prairie Hills Schools - Sabetha Elementary School",144,98
"Prairie Hills Schools - Sabetha High School",12,11
"Prairie Hills Schools - Sabetha Middle School",7,11
"Prairie Hills Schools - Wetmore Academic Center",14,0
"Richmond Public Library",163,77
"Rossville Community Library",479,323
"Sabetha, Mary Cotton Library",647,791
"Seneca Free Library",575,181
"Silver Lake Library",180,263
"Tonganoxie Public Library",466,644
"Valley Falls, Delaware Township Library",84,120
"Wellsville City Library",496,376
"Wetmore Public Library",174,83
"Williamsburg Community Library",235,20
"Winchester Public Library",155,106
