branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05,2023-01-06,2023-01-07,2023-01-08,2023-01-09,2023-01-10,2023-01-11,2023-01-12,2023-01-13,2023-01-14,2023-01-15,2023-01-16,2023-01-17,2023-01-18,2023-01-19,2023-01-20,2023-01-21,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,"2023-01-01 - 2023-01-28"
" DAY",Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,-
"Atchison Public Library",5,44,71,55,63,48,35,4,86,67,64,62,54,31,4,6,80,46,64,71,44,6,49,55,55,58,50,37,4,88,64,584
"Baldwin City Public Library",2,8,55,34,37,31,14,5,42,32,44,28,25,26,,6,43,34,43,26,21,,32,29,25,32,43,27,2,35,38,301
"Basehor Community Library",22,70,103,84,79,84,47,49,67,97,79,85,64,63,44,10,97,96,78,71,50,33,86,95,63,71,65,56,35,71,91,878
"Bern Community Library",,,,5,1,,1,,2,,2,,2,2,,,,2,2,3,,,,,2,,1,6,,,,18
"Bonner Springs City Library",3,8,70,74,62,44,48,24,45,62,64,54,45,41,12,6,79,61,60,49,40,19,63,61,54,55,60,49,32,42,68,671
"Burlingame Community Library",,,9,6,15,9,6,1,12,14,13,9,6,4,,,7,11,10,6,5,,9,11,10,8,15,1,,8,19,84
"Carbondale City Library",1,,16,13,18,10,8,,5,14,15,9,6,7,,4,17,10,9,4,9,,12,12,,16,17,8,,7,10,113
"Centralia Community Library",,,,6,3,9,3,,6,1,8,3,1,,,,,8,2,6,1,,8,,8,4,4,3,,10,,38
"Corning City Library",,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,1,,2
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",,,5,4,,2,,,5,1,4,5,3,1,,,4,3,,5,,,1,3,1,1,1,,,2,5,21
"Doniphan County Library - Highland",,,7,6,8,5,3,,6,9,12,3,7,2,,,10,16,2,4,7,1,7,3,17,5,7,2,,4,3,51
"Doniphan County Library - Troy",,,12,10,14,11,3,,22,17,10,13,16,6,,,18,20,8,11,6,,20,17,12,11,16,7,,12,16,122
"Doniphan County Library - Wathena",,,5,5,4,5,4,,5,8,1,6,5,2,,,9,1,2,3,6,,5,5,5,4,4,,,6,5,54
"Effingham Community Library",,,5,11,,2,5,,3,,5,1,2,2,,,5,6,4,5,3,,7,3,1,2,9,2,,4,4,36
"Eudora Community Library",1,4,36,35,17,10,16,1,22,16,31,17,21,14,,6,32,25,35,25,19,2,22,16,8,25,24,22,1,12,15,202
"Everest, Barnes Reading Room",,,4,,1,2,1,,2,2,,2,2,,,,2,1,4,1,1,,2,2,2,1,3,,,1,4,17
"Hiawatha, Morrill Public Library",1,18,37,41,23,25,15,12,24,21,26,22,27,22,8,1,44,23,33,20,15,6,22,25,25,46,28,11,,28,32,284
"Highland Community College",,,,1,,1,,,2,2,1,,,,,,,,1,1,,,2,1,4,2,2,,,,2,13
"Holton, Beck-Bookman Library",,,45,31,43,28,12,,29,26,21,36,34,,,,64,26,32,25,14,,23,44,37,42,40,8,,20,34,325
"Horton Public Library",,2,4,5,2,4,3,,7,7,1,1,2,3,,,8,3,2,6,1,,2,3,2,1,2,1,,5,,41
"Lansing Community Library",2,5,37,31,31,32,20,1,36,30,19,20,21,21,2,4,34,21,37,28,19,1,26,40,26,42,37,22,5,24,20,312
"Leavenworth Public Library",9,10,148,101,81,78,80,42,93,112,94,87,91,91,41,10,170,93,126,81,73,37,80,110,97,97,122,91,39,83,92,1112
"Linwood Community Library",1,3,10,3,7,9,7,1,11,4,11,13,10,2,,,11,9,6,11,5,1,7,15,8,7,6,1,1,8,9,76
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",1,,15,13,5,,10,,13,8,12,9,2,8,,,16,15,10,,5,1,11,19,11,11,,10,,10,10,97
"McLouth Public Library",,,2,8,,4,5,,2,2,5,4,2,2,,3,7,3,3,3,1,,2,3,2,4,3,2,,3,4,32
"Meriden-Ozawkie Public Library",,1,29,25,20,20,6,1,12,17,25,16,21,2,1,44,23,18,22,20,2,1,16,20,27,50,23,8,,11,17,204
"Northeast Kansas Library System",1,,1,,2,,,,2,4,,1,2,,,,2,,5,,,,5,,1,5,3,,,1,3,11
"Nortonville Public Library",,1,7,4,2,7,4,1,,3,5,3,9,,,,5,6,3,7,1,,,5,3,6,6,1,,,8,45
"Osage City Library",,,52,37,31,37,18,,58,36,29,16,31,17,,13,43,30,32,30,13,,36,39,26,23,31,21,,24,31,307
"Osawatomie Public Library",1,2,39,24,17,21,9,1,35,19,25,27,19,14,,4,39,22,25,26,13,3,34,15,,21,27,12,2,26,31,236
"Oskaloosa Public Library",,3,20,12,22,15,12,,23,18,19,20,15,9,1,1,15,18,17,18,9,3,19,15,19,16,16,11,1,22,17,136
"Ottawa Library",2,9,96,58,59,66,43,2,69,78,60,54,58,26,6,54,72,49,67,79,41,3,84,61,59,67,72,45,3,86,89,790
"Overbrook Public Library",,1,22,25,19,21,11,,8,10,20,9,17,6,,22,12,14,10,14,10,,18,16,13,10,14,6,,13,8,150
"Paola Free Library",2,5,71,45,47,50,33,4,57,74,53,49,35,43,2,4,69,38,49,62,20,3,53,60,4,70,42,38,1,64,58,522
"Perry-Lecompton Community Library",,,4,,3,,3,,,3,,4,,4,,,3,,2,,4,,1,4,,2,,,1,,2,21
"Pomona Community Library",,1,4,3,1,2,,,,2,3,2,5,,1,,2,1,7,3,2,,,1,,1,3,1,,1,1,21
