branchname,"ITEM TYPE","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Atchison Public Library",(Unclassified),,,,,,,,,,,,
"Atchison Public Library",AUDIOBOOK,2409,,2,,,,,,,,,
"Atchison Public Library","AUDIOBOOK (MEDIA PLAYER)",,,,,,,,,,,,
"Atchison Public Library","Audiobook (new)",61,,,,3,,,,,,,
"Atchison Public Library",Book,47748,2,5022,,9,,,,143,,,
"Atchison Public Library","Book (local requests only)",,,,,,,,,,,,
"Atchison Public Library","Book (new)",1069,,158,,185,,,,15,,,
"Atchison Public Library","Book (no requests allowed)",,,,,,,,,,,,
"Atchison Public Library","Book club set",,,,,,,,,,,,
"Atchison Public Library","Computers and internet : Laptop computer",,,,,,,,,,,,
"Atchison Public Library","Computers and internet : Launchpad tablet",1,,,,,,,,,,,
"Atchison Public Library","Computers and internet : Public computer",,,,,,,,,,,,
"Atchison Public Library","Computers and internet : Software",,,,,,,,,,,,
"Atchison Public Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Atchison Public Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",,,,,,,,,,,,
"Atchison Public Library","E-content : Digital content",,,,,,,,,,,,
"Atchison Public Library","E-content : E-learning course",,,,,,,,,,,,
"Atchison Public Library","Inter-library loan",54,,,,42,,,,53,,,
"Atchison Public Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Atchison Public Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Atchison Public Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Atchison Public Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Atchison Public Library",Key,,,,,,,,,,,,
"Atchison Public Library","Kit or multi-part set",22,,1,,3,,,,,,,
"Atchison Public Library",MAGAZINE,,,,,,,,,,,,
"Atchison Public Library","Magazine (new)",,,,,,,,,,,,
"Atchison Public Library",Music,3,,,,,,,,,,,
"Atchison Public Library",Pamphlet,,,,,,,,,,,,
"Atchison Public Library","Reference material",1080,,,,,,,,,,,
"Atchison Public Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Atchison Public Library",Room,,,,,,,,,,,,
"Atchison Public Library","Special collections (local requests only)",219,,,,,,,,,,,
"Atchison Public Library","Special collections (no requests allowed)",7,,1,,,,,,,,,
"Atchison Public Library","Story walk",,,,,,,,,,,,
"Atchison Public Library","Things : Artwork",,,,,,,,,,,,
"Atchison Public Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Atchison Public Library","Things : Board games, dolls, puzzles, and toys",108,,2,,1,,,,,,,
"Atchison Public Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Atchison Public Library","Things : Cooking equipment",70,,,,,,,,,,,
"Atchison Public Library","Things : Die cut equipment",,,,,,,,,,,,
"Atchison Public Library","Things : Equipment",5,,,,,,,,,,,
"Atchison Public Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Atchison Public Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Atchison Public Library","Things : Recreation and sports",,,,,,,,,,,,
"Atchison Public Library","Things : Tools",,,,,,,,,,,,
"Atchison Public Library",Video,4886,,,,,,,,14,,,
"Atchison Public Library","Video (Local requests only)",1,,,,1,,,,,,,
"Atchison Public Library","Video (New)",138,,1,,8,,,,2,,,
"Atchison Public Library","Video (No requests allowed)",,,,,,,,,,,,
"Atchison Public Library","Video (Television)",898,,,,,,,,4,,,
"Atchison Public Library","Video game",19,1,4,,,,,,,,,
"Baldwin City Public Library",(Unclassified),3,,,,,,,,,,,
"Baldwin City Public Library",AUDIOBOOK,555,,,,,,,,1,,,
"Baldwin City Public Library","AUDIOBOOK (MEDIA PLAYER)",,,,,,,,,,,,
"Baldwin City Public Library","Audiobook (new)",,,,,,,,,,,,
"Baldwin City Public Library",Book,21920,1,1623,,77,,3,,12,,,
"Baldwin City Public Library","Book (local requests only)",,,,,,,,,,,,
"Baldwin City Public Library","Book (new)",1,,,,,,,,,,,
"Baldwin City Public Library","Book (no requests allowed)",,,,,,,,,,,,
"Baldwin City Public Library","Book club set",1,,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Laptop computer",20,,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Launchpad tablet",2,,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Public computer",9,,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Software",,,,,,,,,,,,
"Baldwin City Public Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Baldwin City Public Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",10,,,,,,,,2,,,
"Baldwin City Public Library","E-content : Digital content",,,,,,,,,,,,
"Baldwin City Public Library","E-content : E-learning course",,,,,,,,,,,,
"Baldwin City Public Library","Inter-library loan",5,,,,4,,,,10,,,
"Baldwin City Public Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Baldwin City Public Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Baldwin City Public Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Baldwin City Public Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Baldwin City Public Library",Key,2,,,,,,,,,,,
"Baldwin City Public Library","Kit or multi-part set",32,,,,,,,,,,,
"Baldwin City Public Library",MAGAZINE,59,,3,,13,,,,13,,,
"Baldwin City Public Library","Magazine (new)",,,,,,,,,,,,
"Baldwin City Public Library",Music,6,,,,,,,,,,,
"Baldwin City Public Library",Pamphlet,17,,,,,,,,,,,
"Baldwin City Public Library","Reference material",330,,,,,,,,,,,
"Baldwin City Public Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Baldwin City Public Library",Room,,,,,,,,,,,,
"Baldwin City Public Library","Special collections (local requests only)",61,,5,,,,,,,,,
"Baldwin City Public Library","Special collections (no requests allowed)",28,,,,,,,,,,,
"Baldwin City Public Library","Story walk",,,,,,,,,,,,
"Baldwin City Public Library","Things : Artwork",,,,,,,,,,,,
"Baldwin City Public Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Baldwin City Public Library","Things : Board games, dolls, puzzles, and toys",,,,,,,,,,,,
"Baldwin City Public Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Baldwin City Public Library","Things : Cooking equipment",3,,,,,,,,,,,
"Baldwin City Public Library","Things : Die cut equipment",,,,,,,,,,,,
"Baldwin City Public Library","Things : Equipment",51,,,,,,,,,,,
"Baldwin City Public Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Baldwin City Public Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Baldwin City Public Library","Things : Recreation and sports",,,,,,,,,,,,
"Baldwin City Public Library","Things : Tools",,,,,,,,,,,,
"Baldwin City Public Library",Video,2865,1,1,,12,,,,1,,,
"Baldwin City Public Library","Video (Local requests only)",,,,,,,,,,,,
"Baldwin City Public Library","Video (New)",,,,,,,,,,,,
"Baldwin City Public Library","Video (No requests allowed)",,,,,,,,,,,,
"Baldwin City Public Library","Video (Television)",4,,,,,,,,,,,
"Baldwin City Public Library","Video game",53,,,,1,,,,,,,
"Basehor Community Library",(Unclassified),,,,,,,,,,,,
"Basehor Community Library",AUDIOBOOK,2143,1,71,,10,,,,2,,,
"Basehor Community Library","AUDIOBOOK (MEDIA PLAYER)",144,,8,,,,,,,,,
"Basehor Community Library","Audiobook (new)",,,,,,,,,,,,
"Basehor Community Library",Book,52548,10,9592,,353,1,100,,346,,,
"Basehor Community Library","Book (local requests only)",,,,,,,,,,,,
"Basehor Community Library","Book (new)",2,,1,,,,,,,,,
"Basehor Community Library","Book (no requests allowed)",,,,,,,,,,,,
"Basehor Community Library","Book club set",1,,,,,,,,,,,
"Basehor Community Library","Computers and internet : Laptop computer",,,,,,,,,,,,
"Basehor Community Library","Computers and internet : Launchpad tablet",1,,1,,,,,,,,,
"Basehor Community Library","Computers and internet : Public computer",1,,,,,,,,,,,
"Basehor Community Library","Computers and internet : Software",,,,,,,,,,,,
"Basehor Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Basehor Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",4,,,,,,,,,,,
"Basehor Community Library","E-content : Digital content",,,,,,,,,,,,
"Basehor Community Library","E-content : E-learning course",,,,,,,,,,,,
"Basehor Community Library","Inter-library loan",11,,,,8,,,,22,,,
"Basehor Community Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Basehor Community Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Basehor Community Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Basehor Community Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Basehor Community Library",Key,,,,,,,,,,,,
"Basehor Community Library","Kit or multi-part set",,,,,,,,,,,,
