CHECK_OUT_LIBRARY,ITEM_TYPE,CKO_REN_ALL,CKO_REN_ADULT,CKO_REN_YA,CKO_REN_CHILD,CKO_REN_OTHER
"Atchison Public Library",(Unclassified),0,0,0,0,0
"Atchison Public Library",AUDIOBOOK,65,45,0,20,0
"Atchison Public Library","AUDIOBOOK (MEDIA PLAYER)",0,0,0,0,0
"Atchison Public Library","Audiobook (new)",16,16,0,0,0
"Atchison Public Library",Book,3467,1299,265,1902,1
"Atchison Public Library","Book (local requests only)",0,0,0,0,0
"Atchison Public Library","Book (new)",472,336,6,130,0
"Atchison Public Library","Book (no requests allowed)",0,0,0,0,0
"Atchison Public Library","Book club set",0,0,0,0,0
"Atchison Public Library","Computers and internet : Laptop computer",0,0,0,0,0
"Atchison Public Library","Computers and internet : Launchpad tablet",0,0,0,0,0
"Atchison Public Library","Computers and internet : Public computer",0,0,0,0,0
"Atchison Public Library","Computers and internet : Software",0,0,0,0,0
"Atchison Public Library","Computers and internet : Tablets, e-readers, and personal computing devices",0,0,0,0,0
"Atchison Public Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",0,0,0,0,0
"Atchison Public Library","E-content : Digital content",0,0,0,0,0
"Atchison Public Library","E-content : E-learning course",0,0,0,0,0
"Atchison Public Library","Inter-library loan",58,58,0,0,0
"Atchison Public Library","Inter-library loan - 07 day loan",0,0,0,0,0
"Atchison Public Library","Inter-library loan - 14 day loan",0,0,0,0,0
"Atchison Public Library","Inter-library loan - 21 day loan",0,0,0,0,0
"Atchison Public Library","Inter-library loan - 28 day loan",0,0,0,0,0
"Atchison Public Library",Key,0,0,0,0,0
"Atchison Public Library","Kit or multi-part set",13,7,0,6,0
"Atchison Public Library",MAGAZINE,0,0,0,0,0
"Atchison Public Library","Magazine (new)",0,0,0,0,0
"Atchison Public Library",Music,3,2,0,1,0
"Atchison Public Library",Pamphlet,0,0,0,0,0
"Atchison Public Library","Reference material",0,0,0,0,0
"Atchison Public Library","Reserve desk : Highland Community College",0,0,0,0,0
"Atchison Public Library",Room,0,0,0,0,0
"Atchison Public Library","Special collections (local requests only)",20,15,0,5,0
"Atchison Public Library","Special collections (no requests allowed)",0,0,0,0,0
"Atchison Public Library","Story walk",0,0,0,0,0
"Atchison Public Library","Things : Artwork",0,0,0,0,0
"Atchison Public Library","Things : Bicycles (and bicycle accessories)",0,0,0,0,0
"Atchison Public Library","Things : Board games, dolls, puzzles, and toys",22,22,0,0,0
"Atchison Public Library","Things : Clothing, costumes, and masks",0,0,0,0,0
"Atchison Public Library","Things : Cooking equipment",4,0,0,4,0
"Atchison Public Library","Things : Die cut equipment",0,0,0,0,0
"Atchison Public Library","Things : Equipment",2,0,0,1,1
"Atchison Public Library","Things : Kansas Parks Pass",0,0,0,0,0
"Atchison Public Library","Things : Museum pass / event pass",0,0,0,0,0
