branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",6092,4817,1275,12470,2802,3288
"Baldwin City Public Library",2811,2235,576,3763,1322,1489
"Basehor Community Library",11402,8484,2918,18490,3987,7412
"Bern Community Library",199,130,69,356,137,62
"Bonner Springs City Library",6726,5519,1207,14396,2857,3859
"Burlingame Community Library",823,695,128,1411,557,266
"Carbondale City Library",841,745,96,1084,573,268
"Centralia Community Library",423,335,88,572,235,188
"Corning City Library",22,14,8,92,14,8
"Digital Content",0,0,0,2,0,0
"Doniphan County Library - Elwood",173,163,10,357,99,59
"Doniphan County Library - Highland",419,405,14,953,283,133
"Doniphan County Library - Troy",697,620,77,2687,419,276
"Doniphan County Library - Wathena",505,414,91,829,275,228
"Effingham Community Library",111,84,27,316,53,58
"Eudora Community Library",2448,1863,585,3460,863,1585
"Everest, Barnes Reading Room",268,155,113,531,64,204
"Hiawatha, Morrill Public Library",2951,2405,546,3691,1376,1575
"Highland Community College",23,19,4,138,22,1
"Holton, Beck-Bookman Library",2555,2147,408,3708,1596,959
"Horton Public Library",219,190,29,394,160,59
"Lansing Community Library",3021,2342,679,4892,1426,1595
"Leavenworth Public Library",12139,9431,2708,24054,5631,6498
"Linwood Community Library",805,684,121,1613,308,497
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",884,613,271,1190,529,355
"McLouth Public Library",174,137,37,401,77,97
"Meriden-Ozawkie Public Library",1899,1480,419,2943,920,979
"Northeast Kansas Library System",95,88,7,201,54,41
"Nortonville Public Library",335,261,74,860,112,223
"Osage City Library",2381,2199,182,3847,1496,883
"Osawatomie Public Library",1384,1069,315,3000,750,634
"Oskaloosa Public Library",901,743,158,1610,602,299
"Ottawa Library",7941,6930,1011,10415,3385,4551
"Overbrook Public Library",1202,1074,128,2302,737,465
"Paola Free Library",3625,2916,709,4600,1777,1848
"Perry-Lecompton Community Library",123,112,11,394,68,55
"Pomona Community Library",431,404,27,684,67,364
"Prairie Hills Schools - Axtell Public School",783,741,42,1005,14,769
"Prairie Hills Schools - Sabetha Elementary School",2068,1755,313,2098,11,2057
"Prairie Hills Schools - Sabetha High School",36,27,9,69,28,8
"Prairie Hills Schools - Sabetha Middle School",79,65,14,164,4,75
"Prairie Hills Schools - Wetmore Academic Center",257,243,14,278,2,255
"Richmond Public Library",400,367,33,710,279,121
"Rossville Community Library",1668,1294,374,2964,822,837
"Sabetha, Mary Cotton Library",4266,3499,767,5480,1097,3169
"Seneca Free Library",2008,1689,319,2916,899,1109
"Silver Lake Library",1670,1217,453,3006,584,1086
"Tonganoxie Public Library",4293,3470,823,5512,2126,2166
"Valley Falls, Delaware Township Library",743,568,175,1120,356,387
"Wellsville City Library",2339,1733,606,3495,873,1466
"Wetmore Public Library",238,210,28,698,177,61
"Williamsburg Community Library",322,270,52,690,152,170
"Winchester Public Library",222,166,56,587,125,97
