branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",857,1010
"Baldwin City Public Library",386,362
"Basehor Community Library",886,1141
"Bern Community Library",83,32
"Bonner Springs City Library",1336,1050
"Burlingame Community Library",251,200
"Carbondale City Library",164,106
"Centralia Community Library",62,47
"Corning City Library",38,3
"Digital Content",0,0
"Doniphan County Library - Elwood",42,43
"Doniphan County Library - Highland",217,172
"Doniphan County Library - Troy",280,125
"Doniphan County Library - Wathena",186,74
"Effingham Community Library",58,13
"Eudora Community Library",434,519
"Everest, Barnes Reading Room",92,101
"Hiawatha, Morrill Public Library",336,460
"Highland Community College",57,1
"Holton, Beck-Bookman Library",338,516
"Horton Public Library",91,19
"Lansing Community Library",467,640
"Leavenworth Public Library",1153,1545
"Linwood Community Library",275,145
"Louisburg Library",0,0
"Lyndon Carnegie Library",154,305
"McLouth Public Library",64,43
"Meriden-Ozawkie Public Library",471,333
"Northeast Kansas Library System",14,59
"Nortonville Public Library",238,113
"Osage City Library",526,451
"Osawatomie Public Library",522,309
"Oskaloosa Public Library",130,301
"Ottawa Library",863,911
"Overbrook Public Library",433,219
"Paola Free Library",342,488
"Perry-Lecompton Community Library",111,43
"Pomona Community Library",69,152
"Prairie Hills Schools - Axtell Public School",70,20
"Prairie Hills Schools - Sabetha Elementary School",111,54
"Prairie Hills Schools - Sabetha High School",20,10
"Prairie Hills Schools - Sabetha Middle School",17,8
"Prairie Hills Schools - Wetmore Academic Center",0,0
"Richmond Public Library",138,35
"Rossville Community Library",555,290
"Sabetha, Mary Cotton Library",492,614
"Seneca Free Library",520,168
"Silver Lake Library",120,189
"Tonganoxie Public Library",419,676
"Valley Falls, Delaware Township Library",97,229
"Wellsville City Library",483,415
"Wetmore Public Library",178,94
"Williamsburg Community Library",190,23
"Winchester Public Library",75,75
