CHECK_OUT_LIBRARY,ITEM_TYPE,CKO_REN_ALL,CKO_REN_ADULT,CKO_REN_YA,CKO_REN_CHILD,CKO_REN_OTHER
"Atchison Public Library",(Unclassified),0,0,0,0,0
"Atchison Public Library",AUDIOBOOK,63,50,1,12,0
"Atchison Public Library","AUDIOBOOK (MEDIA PLAYER)",0,0,0,0,0
"Atchison Public Library","Audiobook (new)",35,35,0,0,0
"Atchison Public Library",Book,4215,1394,299,2519,3
"Atchison Public Library","Book (local requests only)",0,0,0,0,0
"Atchison Public Library","Book (new)",555,355,14,186,0
"Atchison Public Library","Book (no requests allowed)",0,0,0,0,0
"Atchison Public Library","Book club set",0,0,0,0,0
"Atchison Public Library","Computers and internet : Laptop computer",0,0,0,0,0
"Atchison Public Library","Computers and internet : Launchpad tablet",0,0,0,0,0
"Atchison Public Library","Computers and internet : Public computer",0,0,0,0,0
"Atchison Public Library","Computers and internet : Software",0,0,0,0,0
"Atchison Public Library","Computers and internet : Tablets, e-readers, and personal computing devices",0,0,0,0,0
"Atchison Public Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",0,0,0,0,0
"Atchison Public Library","E-content : Digital content",0,0,0,0,0
"Atchison Public Library","E-content : E-learning course",0,0,0,0,0
"Atchison Public Library","Inter-library loan",86,86,0,0,0
"Atchison Public Library","Inter-library loan - 07 day loan",0,0,0,0,0
"Atchison Public Library","Inter-library loan - 14 day loan",0,0,0,0,0
"Atchison Public Library","Inter-library loan - 21 day loan",0,0,0,0,0
"Atchison Public Library","Inter-library loan - 28 day loan",0,0,0,0,0
"Atchison Public Library",Key,0,0,0,0,0
"Atchison Public Library","Kit or multi-part set",11,6,0,5,0
"Atchison Public Library",MAGAZINE,0,0,0,0,0
"Atchison Public Library","Magazine (new)",0,0,0,0,0
"Atchison Public Library",Music,5,5,0,0,0
"Atchison Public Library",Pamphlet,0,0,0,0,0
"Atchison Public Library","Reference material",0,0,0,0,0
"Atchison Public Library","Reserve desk : Highland Community College",0,0,0,0,0
"Atchison Public Library",Room,0,0,0,0,0
"Atchison Public Library","Special collections (local requests only)",29,17,0,12,0
"Atchison Public Library","Special collections (no requests allowed)",1,1,0,0,0
"Atchison Public Library","Story walk",0,0,0,0,0
"Atchison Public Library","Things : Artwork",0,0,0,0,0
"Atchison Public Library","Things : Bicycles (and bicycle accessories)",0,0,0,0,0
"Atchison Public Library","Things : Board games, dolls, puzzles, and toys",32,32,0,0,0
"Atchison Public Library","Things : Clothing, costumes, and masks",0,0,0,0,0
"Atchison Public Library","Things : Cooking equipment",3,0,0,3,0
"Atchison Public Library","Things : Die cut equipment",0,0,0,0,0
"Atchison Public Library","Things : Equipment",0,0,0,0,0
"Atchison Public Library","Things : Kansas Parks Pass",0,0,0,0,0
