Library,"Borrower zipcode","Checkouts + renewals"
"Atchison Public Library",0,95
"Atchison Public Library",64098,1
"Atchison Public Library",64484,34
"Atchison Public Library",64501,12
"Atchison Public Library",64506,14
"Atchison Public Library",66002,5441
"Atchison Public Library",66008,86
"Atchison Public Library",66016,124
"Atchison Public Library",66017,13
"Atchison Public Library",66020,16
"Atchison Public Library",66023,48
"Atchison Public Library",66035,6
"Atchison Public Library",66041,79
"Atchison Public Library",66048,16
"Atchison Public Library",66058,10
"Atchison Public Library",-,15
"Atchison Public Library",66088,19
"Atchison Public Library",66097,20
"Atchison Public Library",66111,1
"Atchison Public Library",66205,15
"Atchison Public Library",66424,20
"Atchison Public Library",66434,4
"Atchison Public Library",66439,3
"Baldwin City Public Library",0,52
"Baldwin City Public Library",66006,2261
"Baldwin City Public Library",66021,2
"Baldwin City Public Library",66025,91
"Baldwin City Public Library",66030,22
"Baldwin City Public Library",66044,18
"Baldwin City Public Library",66046,30
"Baldwin City Public Library",66047,116
"Baldwin City Public Library",66049,27
"Baldwin City Public Library",66067,41
"Baldwin City Public Library",66092,135
"Baldwin City Public Library",66524,15
"Baldwin City Public Library",67219,1
"Basehor Community Library",0,293
"Basehor Community Library",66007,6649
"Basehor Community Library",66012,1046
"Basehor Community Library",66014,2
"Basehor Community Library",66030,1
"Basehor Community Library",66043,316
"Basehor Community Library",66044,20
"Basehor Community Library",66046,5
"Basehor Community Library",66047,4
"Basehor Community Library",66048,710
"Basehor Community Library",66049,2
"Basehor Community Library",66052,50
"Basehor Community Library",66054,36
"Basehor Community Library",66061,2
"Basehor Community Library",66086,1143
"Basehor Community Library",66102,14
"Basehor Community Library",66109,1002
"Basehor Community Library",66111,7
"Basehor Community Library",66203,6
"Basehor Community Library",66212,18
"Basehor Community Library",66215,3
"Basehor Community Library",66216,17
"Basehor Community Library",66218,28
"Basehor Community Library",66226,6
"Basehor Community Library",66227,10
"Basehor Community Library",-,12
"Bern Community Library",0,3
"Bern Community Library",66408,196
"Bonner Springs City Library",0,460
"Bonner Springs City Library",66007,88
"Bonner Springs City Library",66012,3568
"Bonner Springs City Library",66018,22
"Bonner Springs City Library",66021,13
"Bonner Springs City Library",66030,4
"Bonner Springs City Library",66043,72
"Bonner Springs City Library",66044,8
"Bonner Springs City Library",66048,34
"Bonner Springs City Library",66049,8
"Bonner Springs City Library",66052,94
"Bonner Springs City Library",66053,7
"Bonner Springs City Library",66061,8
"Bonner Springs City Library",66086,89
"Bonner Springs City Library",66102,4
"Bonner Springs City Library",66104,1
"Bonner Springs City Library",66109,806
"Bonner Springs City Library",66111,615
"Bonner Springs City Library",66113,142
"Bonner Springs City Library",66202,2
"Bonner Springs City Library",66203,10
"Bonner Springs City Library",66212,2
"Bonner Springs City Library",66213,4
