branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",5078,3844,1234,10767,2497,2581
"Baldwin City Public Library",2635,2003,632,3184,1172,1463
"Basehor Community Library",9409,7052,2357,16545,3267,6142
"Bern Community Library",218,142,76,290,90,128
"Bonner Springs City Library",6353,4992,1361,12783,2709,3644
"Burlingame Community Library",836,609,227,1066,442,394
"Carbondale City Library",711,548,163,922,421,290
"Centralia Community Library",396,333,63,468,199,197
"Corning City Library",33,33,0,86,18,15
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",117,114,3,226,78,39
"Doniphan County Library - Highland",345,316,29,720,250,95
"Doniphan County Library - Troy",678,554,124,2409,356,322
"Doniphan County Library - Wathena",520,405,115,877,206,314
"Effingham Community Library",264,216,48,451,141,123
"Eudora Community Library",2289,1699,590,2912,854,1435
"Everest, Barnes Reading Room",290,196,94,416,65,225
"Hiawatha, Morrill Public Library",2230,1790,440,3199,1129,1101
"Highland Community College",19,13,6,96,17,2
"Holton, Beck-Bookman Library",2107,1790,317,3016,1283,824
"Horton Public Library",116,100,16,201,82,34
"Lansing Community Library",2463,1755,708,3702,1082,1381
"Leavenworth Public Library",10681,8239,2442,20613,5376,5305
"Linwood Community Library",585,496,89,1250,214,371
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",628,439,189,913,374,254
"McLouth Public Library",206,177,29,392,96,110
"Meriden-Ozawkie Public Library",1498,1123,375,2294,681,817
"Northeast Kansas Library System",47,26,21,165,40,7
"Nortonville Public Library",405,314,91,769,120,285
"Osage City Library",1986,1743,243,3188,1342,644
"Osawatomie Public Library",1162,880,282,2012,726,436
"Oskaloosa Public Library",676,585,91,1217,467,209
"Ottawa Library",6733,5827,906,9245,2778,3954
"Overbrook Public Library",1096,926,170,1928,724,372
"Paola Free Library",3147,2443,704,4064,1471,1676
"Perry-Lecompton Community Library",96,79,17,316,55,41
"Pomona Community Library",249,210,39,537,36,213
"Prairie Hills Schools - Axtell Public School",451,436,15,617,6,445
"Prairie Hills Schools - Sabetha Elementary School",1580,1334,246,1706,9,1571
"Prairie Hills Schools - Sabetha High School",29,26,3,135,28,1
"Prairie Hills Schools - Sabetha Middle School",123,109,14,169,3,120
"Prairie Hills Schools - Wetmore Academic Center",194,183,11,250,0,194
"Richmond Public Library",470,421,49,765,377,93
"Rossville Community Library",1544,1162,382,2396,752,791
"Sabetha, Mary Cotton Library",3974,2993,981,6203,1119,2855
"Seneca Free Library",1576,1268,308,2361,660,916
"Silver Lake Library",1456,1030,426,2619,541,915
"Tonganoxie Public Library",3667,3105,562,5062,1900,1767
"Valley Falls, Delaware Township Library",709,532,177,842,391,318
"Wellsville City Library",1793,1275,518,2913,781,1012
"Wetmore Public Library",208,176,32,611,137,71
"Williamsburg Community Library",312,281,31,697,136,176
"Winchester Public Library",390,295,95,711,209,181
