Library,"Items owned by this library checked out at this library this month","Items owned by other libraries checked out at this library this month","Total circulation this month"
"Atchison Public Library",4944,1613,6557
"Baldwin City Public Library",2901,476,3377
"Basehor Community Library",9600,1279,10879
"Bern Community Library",121,132,253
"Bonner Springs City Library",5424,1218,6642
"Burlingame Community Library",511,195,706
"Carbondale City Library",672,122,794
"Centralia Community Library",344,41,385
"Corning City Library",20,5,25
"Digital Content",,,
"Doniphan County Library - Elwood",45,8,53
"Doniphan County Library - Highland",261,171,432
"Doniphan County Library - Troy",535,111,646
"Doniphan County Library - Wathena",343,77,420
"Effingham Community Library",425,61,486
"Eudora Community Library",2013,555,2568
"Everest, Barnes Reading Room",109,89,198
"Hiawatha, Morrill Public Library",1808,707,2515
"Highland Community College",9,3,12
"Holton, Beck-Bookman Library",1880,496,2376
"Horton Public Library",99,32,131
"Lansing Community Library",1866,763,2629
"Leavenworth Public Library",8722,1907,10629
"Linwood Community Library",665,176,841
"Louisburg Library",,,
"Lyndon Carnegie Library",424,209,633
"McLouth Public Library",168,53,221
"Meriden-Ozawkie Public Library",1785,449,2234
"Northeast Kansas Library System",17,18,35
"Nortonville Public Library",242,61,303
"Osage City Library",2334,440,2774
"Osawatomie Public Library",908,363,1271
"Oskaloosa Public Library",624,171,795
"Ottawa Library",6667,880,7547
"Overbrook Public Library",980,241,1221
"Paola Free Library",3138,467,3605
"Perry-Lecompton Community Library",50,11,61
"Pomona Community Library",206,51,257
"Prairie Hills Schools - Axtell Public School",115,1,116
"Prairie Hills Schools - Sabetha Elementary School",405,15,420
"Prairie Hills Schools - Sabetha High School",14,3,17
"Prairie Hills Schools - Sabetha Middle School",2,,2
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,
"Richmond Public Library",465,77,542
"Rossville Community Library",1177,401,1578
"Sabetha, Mary Cotton Library",4403,959,5362
"Seneca Free Library",2300,231,2531
"Silver Lake Library",1168,311,1479
"Tonganoxie Public Library",4273,815,5088
"Valley Falls, Delaware Township Library",465,293,758
"Wellsville City Library",1790,475,2265
"Wetmore Public Library",103,136,239
"Williamsburg Community Library",239,22,261
"Winchester Public Library",447,278,725
