branchname,"""COLLECTION CODE""","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Atchison Public Library",(Unclassified),1,1,,,,,,,,,,
"Atchison Public Library","Action & Adventure",,,,,,,,,,,,
"Atchison Public Library","Adult literacy",,,,,,,,,,,,
"Atchison Public Library","African American history and literature",,,,,,,,,,,,
"Atchison Public Library","Archival materials",,,,,,,,,,,,
"Atchison Public Library",Atlas,,,,,,,,,,,,
"Atchison Public Library","Audiobook (cassette)",,,,,,,,,,,,
"Atchison Public Library","Audiobook (CD)",2427,2367,2,58,1,1,,,,,,
"Atchison Public Library","Audiobook (downloadable)",,,,,,,,,,,,
"Atchison Public Library","Audiobook (media player)",61,54,,7,,,,,,,,
"Atchison Public Library",Bakeware,76,,,76,,,,,,,,
"Atchison Public Library","Battle of the books",,,,,,,,,,,,
"Atchison Public Library",Bicycle,,,,,,,,,,,,
"Atchison Public Library",Bilingual,90,,,90,,,,,,,,
"Atchison Public Library",Binder,,,,,,,,,,,,
"Atchison Public Library",Biography,1123,1064,51,8,6,6,,,,,,
"Atchison Public Library","Board Book",112,,,112,,,,,,,,
"Atchison Public Library","Chapter Books",,,,,,,,,,,,
"Atchison Public Library",Classics,,,,,,,,,,,,
"Atchison Public Library","Contemporary Issues",,,,,,,,,,,,
"Atchison Public Library","Downloadable Book",,,,,,,,,,,,
"Atchison Public Library","Downloadable Graphic Novel",,,,,,,,,,,,
"Atchison Public Library","Downloadable Magazine",,,,,,,,,,,,
"Atchison Public Library","Downloadable Movie",,,,,,,,,,,,
"Atchison Public Library","Downloadable Music",,,,,,,,,,,,
"Atchison Public Library","Downloadable TV Show",,,,,,,,,,,,
"Atchison Public Library","Easy Reader",1495,,,1495,,,,,,,,
"Atchison Public Library",Education,,,,,,,,,,,,
"Atchison Public Library",Fiction,14198,7761,3516,2921,103,52,51,,3,,,
"Atchison Public Library",Gadget,9,4,,5,,,,,,,,
"Atchison Public Library",Genealogy,106,106,,,,,,,,,,
"Atchison Public Library","Graphic Novel",2818,467,1572,779,46,,44,2,,,,
"Atchison Public Library","Historical ",,,,,,,,,,,,
"Atchison Public Library",Holiday,,,,,,,,,,,,
"Atchison Public Library","Holiday video",,,,,,,,,,,,
"Atchison Public Library",Inspirational,641,641,,,2,2,,,,,,
"Atchison Public Library","Interlibrary Loan",252,245,1,6,75,73,1,1,5,,,
"Atchison Public Library",Kansas,989,989,,,,,,,,,,
"Atchison Public Library","Kansas notable books",1,1,,,,,,,,,,
"Atchison Public Library","Large Print",4743,4742,1,,17,17,,,1,,,
"Atchison Public Library","Large Print Non-Fiction",81,81,,,,,,,,,,
"Atchison Public Library",LGBTQ+,,,,,,,,,,,,
"Atchison Public Library","Lynda.com course",,,,,,,,,,,,
"Atchison Public Library",Magazine,,,,,,,,,,,,
"Atchison Public Library",Map,2,2,,,,,,,,,,
"Atchison Public Library","McNaughton Fiction",,,,,,,,,,,,
