BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",60074,59564,209,719,58515
"Baldwin City Public Library",26766,26805,127,88,26428
"Basehor Community Library",65523,63280,405,2648,60894
"Bern Community Library",12634,12656,23,1,12375
"Bonner Springs City Library",61300,60593,440,1147,58520
"Burlingame Community Library",14051,14099,63,15,13940
"Carbondale City Library",10854,10491,78,441,10402
"Centralia Community Library",8328,8365,37,0,8284
"Corning City Library",5137,5233,98,2,5152
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2598,2575,38,61,2527
"Doniphan County Library - Highland",4633,4656,90,67,4521
"Doniphan County Library - Troy",11733,11746,167,154,11524
"Doniphan County Library - Wathena",8158,7947,186,397,7806
"Effingham Community Library",8787,8679,59,167,8577
"Eudora Community Library",16753,16264,152,644,16084
"Everest, Barnes Reading Room",7790,7775,41,56,7691
"Hiawatha, Morrill Public Library",31328,31438,140,30,30735
"Highland Community College",4292,4316,63,39,4052
"Holton, Beck-Bookman Library",25892,25728,112,276,25117
"Horton Public Library",14316,14324,55,49,13685
"Lansing Community Library",23884,23999,184,69,23592
"Leavenworth Public Library",90129,89510,537,1156,83711
"Linwood Community Library",12533,12650,131,14,12432
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",14074,14115,60,19,13875
"McLouth Public Library",4455,4557,113,11,4515
"Meriden-Ozawkie Public Library",16517,16323,106,300,16186
"Northeast Kansas Library System",902,902,1,1,741
"Nortonville Public Library",17389,17038,67,418,16674
"Osage City Library",22561,22274,112,399,22166
"Osawatomie Public Library",17685,17789,128,24,17643
"Oskaloosa Public Library",10863,10829,20,54,10624
"Ottawa Library",71591,71166,420,846,68947
"Overbrook Public Library",22109,22168,94,35,21826
"Paola Free Library",30175,30175,144,144,29045
"Perry-Lecompton Community Library",12816,12838,30,8,12819
"Pomona Community Library",7729,7664,0,65,7515
"Prairie Hills Schools - Axtell Public School",12431,12430,0,1,10962
"Prairie Hills Schools - Sabetha Elementary School",16468,16492,50,26,13266
"Prairie Hills Schools - Sabetha High School",3850,3847,0,3,3650
"Prairie Hills Schools - Sabetha Middle School",4753,4691,0,62,4184
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",13523,13518,0,5,9613
"Richmond Public Library",8155,8140,28,43,8098
"Rossville Community Library",16090,15842,130,378,15750
"Sabetha, Mary Cotton Library",30333,28757,124,1701,28144
"Seneca Free Library",22628,22685,65,8,22588
"Silver Lake Library",11799,10652,115,1262,9941
"Tonganoxie Public Library",26971,27183,289,77,26831
"Valley Falls, Delaware Township Library",10825,10759,102,168,10681
"Wellsville City Library",23680,23670,52,62,22816
"Wetmore Public Library",11576,11583,133,126,11501
"Williamsburg Community Library",14560,14554,39,45,14424
"Winchester Public Library",10943,10932,37,48,10748
