CHECK_OUT_LIBRARY,COLLECTION_CODE,CKO_RENW_ALL,CKO_RENEW_ADULT,CKO_RENEW_YA,CKO_RENEW_CHILDRENS,CKO_RENEW_OTHER
"Atchison Public Library",(Unclassified),1,0,0,1,0
"Atchison Public Library","Action & Adventure",0,0,0,0,0
"Atchison Public Library","Adult literacy",0,0,0,0,0
"Atchison Public Library","African American history and literature",0,0,0,0,0
"Atchison Public Library","Archival materials",0,0,0,0,0
"Atchison Public Library",Atlas,0,0,0,0,0
"Atchison Public Library","Audio-visual equipment",0,0,0,0,0
"Atchison Public Library","Audiobook (cassette)",0,0,0,0,0
"Atchison Public Library","Audiobook (CD)",149,110,3,36,0
"Atchison Public Library","Audiobook (downloadable)",0,0,0,0,0
"Atchison Public Library","Audiobook (media player)",3,2,0,1,0
"Atchison Public Library",Bakeware,6,0,0,6,0
"Atchison Public Library","Battle of the books",0,0,0,0,0
"Atchison Public Library",Bicycle,0,0,0,0,0
"Atchison Public Library",Bilingual,6,0,0,6,0
"Atchison Public Library",Binder,0,0,0,0,0
"Atchison Public Library",Biography,99,49,2,48,0
"Atchison Public Library","Blu-ray player",0,0,0,0,0
"Atchison Public Library","Board Book",56,0,0,56,0
"Atchison Public Library","Chapter Books",2,0,0,2,0
"Atchison Public Library",Classics,3,3,0,0,0
"Atchison Public Library","Contemporary Issues",0,0,0,0,0
"Atchison Public Library","Downloadable Book",0,0,0,0,0
"Atchison Public Library","Downloadable Graphic Novel",0,0,0,0,0
"Atchison Public Library","Downloadable Magazine",0,0,0,0,0
"Atchison Public Library","Downloadable Movie",0,0,0,0,0
"Atchison Public Library","Downloadable Music",0,0,0,0,0
"Atchison Public Library","Downloadable TV Show",0,0,0,0,0
"Atchison Public Library","Easy Reader",265,0,0,265,0
"Atchison Public Library",Education,2,0,0,2,0
"Atchison Public Library",Fiction,1179,512,230,436,1
"Atchison Public Library",Gadget,0,0,0,0,0
"Atchison Public Library",Genealogy,0,0,0,0,0
"Atchison Public Library","Graphic Novel",315,21,112,182,0
"Atchison Public Library","Historical ",0,0,0,0,0
"Atchison Public Library",Holiday,11,3,0,8,0
"Atchison Public Library","Holiday video",0,0,0,0,0
"Atchison Public Library",Inspirational,13,13,0,0,0
"Atchison Public Library","Interlibrary Loan",69,69,0,0,0
"Atchison Public Library",Kansas,0,0,0,0,0
"Atchison Public Library","Kansas notable books",0,0,0,0,0
"Atchison Public Library","Large Print",352,350,0,2,0
"Atchison Public Library","Large Print Non-Fiction",5,5,0,0,0
"Atchison Public Library",LGBTQ+,0,0,0,0,0
"Atchison Public Library","Lynda.com course",0,0,0,0,0
"Atchison Public Library",Magazine,1,1,0,0,0
"Atchison Public Library",Map,0,0,0,0,0
"Atchison Public Library","McNaughton Fiction",0,0,0,0,0
"Atchison Public Library","McNaughton Non-fiction",3,3,0,0,0
"Atchison Public Library",Miscellaneous,5,5,0,0,0
"Atchison Public Library","Music : compact disc",17,17,0,0,0
"Atchison Public Library","Music : record",0,0,0,0,0
"Atchison Public Library","Musical instrument : brass instruments",0,0,0,0,0
"Atchison Public Library","Musical instrument : drums and percussion",0,0,0,0,0
"Atchison Public Library","Musical instrument : misceleaneous",0,0,0,0,0
"Atchison Public Library","Musical instrument : stringed instruments",0,0,0,0,0
"Atchison Public Library","Musical instrument : woodwind instruments",0,0,0,0,0
"Atchison Public Library",Mystery,211,210,0,0,1
"Atchison Public Library",Mystery-Cozy,0,0,0,0,0
"Atchison Public Library",Non-Fiction,833,454,15,364,0
"Atchison Public Library","On Display",14,14,0,0,0
"Atchison Public Library","Online Resource",0,0,0,0,0
"Atchison Public Library",Oversize,6,2,0,4,0
"Atchison Public Library",Paperback,0,0,0,0,0
"Atchison Public Library",Parenting,0,0,0,0,0
"Atchison Public Library","Periodical - Comic books",2,0,0,2,0
"Atchison Public Library","Picture Book",919,3,0,916,0
"Atchison Public Library","Professional Collection",2,2,0,0,0
"Atchison Public Library","Public Computer",0,0,0,0,0
"Atchison Public Library","Puzzles & Board Games",43,35,0,8,0
"Atchison Public Library","Read and listen - easy reader",0,0,0,0,0
"Atchison Public Library","Read and listen - fiction",0,0,0,0,0
"Atchison Public Library","Read and listen - non-fiction",0,0,0,0,0
"Atchison Public Library","Read and listen - picture book",0,0,0,0,0
"Atchison Public Library","Record player",0,0,0,0,0
"Atchison Public Library","Recreation : athletic / sports equipment",0,0,0,0,0
"Atchison Public Library","Recreation : basketball equipment",0,0,0,0,0
"Atchison Public Library","Recreation : fishing equipment",0,0,0,0,0
"Atchison Public Library","Recreation : football equipment",0,0,0,0,0
"Atchison Public Library","Recreation : softball / baseball equipment",0,0,0,0,0
"Atchison Public Library","Recreation : tennis equipment",0,0,0,0,0
"Atchison Public Library",Reference,0,0,0,0,0
"Atchison Public Library",Romance,29,29,0,0,0
"Atchison Public Library","Sci Fi-Fantasy",41,38,3,0,0
"Atchison Public Library",Software,0,0,0,0,0
"Atchison Public Library",Spanish,0,0,0,0,0
"Atchison Public Library","Special collection - Dyslexic and Autistic Reading Engagement",0,0,0,0,0
"Atchison Public Library","Sports & Recreation",0,0,0,0,0
"Atchison Public Library",VG--Videogame,0,0,0,0,0
"Atchison Public Library",VG-Gameboy,0,0,0,0,0
"Atchison Public Library","VG-Nintendo 3DS",0,0,0,0,0
"Atchison Public Library","VG-Nintendo DS",0,0,0,0,0
"Atchison Public Library","VG-Nintendo Gamecube",0,0,0,0,0
"Atchison Public Library","VG-Nintendo Switch",3,1,1,1,0
"Atchison Public Library","VG-Nintendo Wii",2,1,0,1,0
"Atchison Public Library","VG-Nintendo Wii U",0,0,0,0,0
"Atchison Public Library","VG-PlayStation 2 (PS2)",0,0,0,0,0
"Atchison Public Library","VG-PlayStation 3 (PS3)",0,0,0,0,0
"Atchison Public Library","VG-PlayStation 4 (PS4)",5,3,0,2,0
"Atchison Public Library","VG-PlayStation 5 (PS5)",0,0,0,0,0
"Atchison Public Library","VG-PlayStation Portable (PSP)",0,0,0,0,0
"Atchison Public Library",VG-XBox,0,0,0,0,0
"Atchison Public Library","VG-XBox 360",0,0,0,0,0
"Atchison Public Library","VG-XBox One",0,0,0,0,0
"Atchison Public Library","VG-XBox X",0,0,0,0,0
"Atchison Public Library","Video (Blu-ray)",27,25,0,2,0
"Atchison Public Library","Video (Blu-ray/DVD combined edition)",2,2,0,0,0
"Atchison Public Library","Video (DVD)",810,615,4,191,0
"Atchison Public Library","Video (media player)",0,0,0,0,0
"Atchison Public Library","Video (VHS cassette)",0,0,0,0,0
"Atchison Public Library","Video-TV series (Blu-ray)",2,2,0,0,0
"Atchison Public Library","Video-TV series (Blu-ray/DVD combined edition)",1,1,0,0,0
"Atchison Public Library","Video-TV series (DVD)",301,264,0,37,0
"Atchison Public Library","Video-TV series (media player)",0,0,0,0,0
"Atchison Public Library",Western,11,11,0,0,0
"Baldwin City Public Library",(Unclassified),0,0,0,0,0
"Baldwin City Public Library","Action & Adventure",0,0,0,0,0
"Baldwin City Public Library","Adult literacy",0,0,0,0,0
"Baldwin City Public Library","African American history and literature",1,0,1,0,0
"Baldwin City Public Library","Archival materials",0,0,0,0,0
"Baldwin City Public Library",Atlas,0,0,0,0,0
"Baldwin City Public Library","Audio-visual equipment",0,0,0,0,0
"Baldwin City Public Library","Audiobook (cassette)",0,0,0,0,0
"Baldwin City Public Library","Audiobook (CD)",24,19,0,5,0
"Baldwin City Public Library","Audiobook (downloadable)",0,0,0,0,0
"Baldwin City Public Library","Audiobook (media player)",0,0,0,0,0
"Baldwin City Public Library",Bakeware,1,1,0,0,0
"Baldwin City Public Library","Battle of the books",0,0,0,0,0
"Baldwin City Public Library",Bicycle,0,0,0,0,0
"Baldwin City Public Library",Bilingual,0,0,0,0,0
"Baldwin City Public Library",Binder,0,0,0,0,0
"Baldwin City Public Library",Biography,18,14,0,4,0
"Baldwin City Public Library","Blu-ray player",0,0,0,0,0
"Baldwin City Public Library","Board Book",94,0,0,94,0
"Baldwin City Public Library","Chapter Books",1,0,0,1,0
"Baldwin City Public Library",Classics,0,0,0,0,0
"Baldwin City Public Library","Contemporary Issues",0,0,0,0,0
"Baldwin City Public Library","Downloadable Book",0,0,0,0,0
"Baldwin City Public Library","Downloadable Graphic Novel",0,0,0,0,0
"Baldwin City Public Library","Downloadable Magazine",0,0,0,0,0
"Baldwin City Public Library","Downloadable Movie",0,0,0,0,0
"Baldwin City Public Library","Downloadable Music",0,0,0,0,0
"Baldwin City Public Library","Downloadable TV Show",0,0,0,0,0
"Baldwin City Public Library","Easy Reader",174,3,0,171,0
"Baldwin City Public Library",Education,0,0,0,0,0
"Baldwin City Public Library",Fiction,931,676,69,186,0
"Baldwin City Public Library",Gadget,9,6,0,3,0
"Baldwin City Public Library",Genealogy,1,0,0,1,0
"Baldwin City Public Library","Graphic Novel",286,9,74,201,2
"Baldwin City Public Library","Historical ",0,0,0,0,0
"Baldwin City Public Library",Holiday,0,0,0,0,0
"Baldwin City Public Library","Holiday video",0,0,0,0,0
"Baldwin City Public Library",Inspirational,3,3,0,0,0
"Baldwin City Public Library","Interlibrary Loan",13,12,1,0,0
"Baldwin City Public Library",Kansas,1,1,0,0,0
"Baldwin City Public Library","Kansas notable books",0,0,0,0,0
"Baldwin City Public Library","Large Print",88,88,0,0,0
"Baldwin City Public Library","Large Print Non-Fiction",4,4,0,0,0
"Baldwin City Public Library",LGBTQ+,0,0,0,0,0
"Baldwin City Public Library","Lynda.com course",0,0,0,0,0
"Baldwin City Public Library",Magazine,4,4,0,0,0
"Baldwin City Public Library",Map,0,0,0,0,0
"Baldwin City Public Library","McNaughton Fiction",0,0,0,0,0
"Baldwin City Public Library","McNaughton Non-fiction",0,0,0,0,0
"Baldwin City Public Library",Miscellaneous,55,54,0,1,0
"Baldwin City Public Library","Music : compact disc",0,0,0,0,0
"Baldwin City Public Library","Music : record",0,0,0,0,0
"Baldwin City Public Library","Musical instrument : brass instruments",0,0,0,0,0
"Baldwin City Public Library","Musical instrument : drums and percussion",0,0,0,0,0
"Baldwin City Public Library","Musical instrument : misceleaneous",0,0,0,0,0
"Baldwin City Public Library","Musical instrument : stringed instruments",0,0,0,0,0
"Baldwin City Public Library","Musical instrument : woodwind instruments",0,0,0,0,0
"Baldwin City Public Library",Mystery,28,28,0,0,0
"Baldwin City Public Library",Mystery-Cozy,0,0,0,0,0
"Baldwin City Public Library",Non-Fiction,340,179,1,160,0
"Baldwin City Public Library","On Display",0,0,0,0,0
"Baldwin City Public Library","Online Resource",0,0,0,0,0
"Baldwin City Public Library",Oversize,3,3,0,0,0
