branchname,"""COLLECTION CODE""",TOTAL ITEMS,ADULT ITEMS,YOUNG ADULT ITEMS,JUVENILE ITEMS,TOTAL ADDED LM,ADULT ADDED LM,YOUNG ADULT ADDED LM,JUVENILE ADDED LM,TOTAL DELETED LM,ADULT DELETED LM,YOUNG ADULT DELETED LM,JUVENILE DELETED LM
Atchison Public Library,(Unclassified),1,1,,,,,,,,,,
Atchison Public Library,Action & Adventure,,,,,,,,,,,,
Atchison Public Library,Adult literacy,,,,,,,,,,,,
Atchison Public Library,African American history and literature,,,,,,,,,,,,
Atchison Public Library,Archival materials,,,,,,,,,,,,
Atchison Public Library,Atlas,,,,,,,,,,,,
Atchison Public Library,Audiobook (cassette),,,,,,,,,,,,
Atchison Public Library,Audiobook (CD),2443,2384,2,57,4,4,,,,,,
Atchison Public Library,Audiobook (downloadable),,,,,,,,,,,,
Atchison Public Library,Audiobook (media player),61,54,,7,,,,,,,,
Atchison Public Library,Audio-visual equipment,,,,,,,,,,,,
Atchison Public Library,Bakeware,76,,,76,,,,,,,,
Atchison Public Library,Battle of the books,,,,,,,,,,,,
Atchison Public Library,Bicycle,,,,,,,,,,,,
Atchison Public Library,Bilingual,97,,,97,,,,,,,,
Atchison Public Library,Binder,,,,,,,,,,,,
Atchison Public Library,Biography,1158,1100,50,8,12,12,,,,,,
Atchison Public Library,Blu-ray player,,,,,,,,,,,,
Atchison Public Library,Board Book,106,,,106,,,,,2,,,
Atchison Public Library,Chapter Books,,,,,,,,,,,,
Atchison Public Library,Classics,,,,,,,,,,,,
Atchison Public Library,Contemporary Issues,,,,,,,,,,,,
Atchison Public Library,Downloadable Book,,,,,,,,,,,,
Atchison Public Library,Downloadable Graphic Novel,,,,,,,,,,,,
Atchison Public Library,Downloadable Magazine,,,,,,,,,,,,
Atchison Public Library,Downloadable Movie,,,,,,,,,,,,
Atchison Public Library,Downloadable Music,,,,,,,,,,,,
Atchison Public Library,Downloadable TV Show,,,,,,,,,,,,
Atchison Public Library,Easy Reader,1529,,,1529,20,,,20,2,,,
Atchison Public Library,Education,,,,,,,,,,,,
Atchison Public Library,Fiction,14302,7806,3513,2983,96,31,36,29,24,,1,
Atchison Public Library,Gadget,9,4,,5,,,,,,,,
Atchison Public Library,Genealogy,108,108,,,,,,,,,,
Atchison Public Library,Graphic Novel,2877,463,1603,811,9,,,9,4,,,
Atchison Public Library,Historical ,,,,,,,,,,,,
Atchison Public Library,Holiday,,,,,,,,,,,,
Atchison Public Library,Holiday video,,,,,,,,,,,,
Atchison Public Library,Inspirational,648,648,,,3,3,,,,,,
Atchison Public Library,Interlibrary Loan,103,97,,6,52,52,,,62,20,,
Atchison Public Library,Kansas,991,991,,,,,,,,,,
Atchison Public Library,Kansas notable books,1,1,,,,,,,,,,
Atchison Public Library,Large Print,4582,4581,1,,24,24,,,94,,,
Atchison Public Library,Large Print Non-Fiction,77,77,,,,,,,,,,
Atchison Public Library,LGBTQ+,,,,,,,,,,,,
Atchison Public Library,Lynda.com course,,,,,,,,,,,,
Atchison Public Library,Magazine,,,,,,,,,,,,
Atchison Public Library,Map,2,2,,,,,,,,,,
