LIBRARY,BORROWER_CATEGORY,"TOTAL BORROWERS","BORROWERS RENEWED LAST MONTH","BORROWERS ADDED LAST MONTH","BORROWERS DELETED LAST MONTH","THIS LIBRARY CAN ACCESS THIS CATEGORY"
"Atchison Public Library",Adult,4690,91,27,2,Yes
"Atchison Public Library","Adult - college student",261,2,1,,Yes
"Atchison Public Library","Adult - digital only",,,,,
"Atchison Public Library","Adult - homebound",9,1,,,Yes
"Atchison Public Library","Adult - library associate",,,,,
"Atchison Public Library","Adult - library board of trustees",1,,,,Yes
"Atchison Public Library","Adult - other",692,10,,,Yes
"Atchison Public Library","Adult - self registered during the pandemic",1,,,,
"Atchison Public Library","Adult - temporary",,,,,
"Atchison Public Library","Highland Community College - community member",,,,,
"Atchison Public Library","Highland Community College - faculty",,,,,
"Atchison Public Library","Highland Community College - faculty outreach",,,,,
"Atchison Public Library","Highland Community College - staff",,,,,
"Atchison Public Library","Highland Community College - student",,,,,
"Atchison Public Library","Highland Community College - student outreach",,,,,
"Atchison Public Library","Louisburg - Hoopla access",,,,,
"Atchison Public Library","Minor - (age 00-11)",1,,,,Yes
"Atchison Public Library","Minor - (age 00-17)",857,12,6,1,Yes
"Atchison Public Library","Minor - (age 12)",19,,,,Yes
"Atchison Public Library","Minor - (age 13-17)",179,,,,Yes
"Atchison Public Library","Minor - digital only (age 00-11)",,,,,
"Atchison Public Library","Minor - digital only (age 00-17)",,,,,
"Atchison Public Library","Minor - digital only (age 12)",1,,,,
"Atchison Public Library","Minor - digital only (ages 13-17)",,,,,
"Atchison Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Atchison Public Library","Minor - other (age 00-17)",46,,,,Yes
"Atchison Public Library","Minor - temporary",,,,,
"Atchison Public Library","Organization - book club",5,,,1,Yes
"Atchison Public Library","Organization - interlibrary loan (exempt-ILL)",10,,,,Yes
"Atchison Public Library","Staff - in house use (exempt)",5,,,,Yes
"Atchison Public Library","Staff - library associate (exempt)",19,,,,Yes
"Atchison Public Library","Staff - Permissions template",,,,,
"Atchison Public Library","Staff - SIP user",4,,,,
"Atchison Public Library","Staff - statistical purposes",,,,,
"Atchison Public Library","Staff - system login (exempt)",24,,,,
"Atchison Public Library","Student (exempt)",,,,,
"Atchison Public Library","Student (public library)",,,,,
"Atchison Public Library","Teacher/Faculty/Administrator (exempt)",12,,,,Yes
"Atchison Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Baldwin City Public Library",Adult,2204,31,6,,Yes
"Baldwin City Public Library","Adult - college student",166,,1,,Yes
"Baldwin City Public Library","Adult - digital only",,,,,
"Baldwin City Public Library","Adult - homebound",5,,,,Yes
"Baldwin City Public Library","Adult - library associate",,,,,
"Baldwin City Public Library","Adult - library board of trustees",6,1,,,Yes
"Baldwin City Public Library","Adult - other",1127,17,3,,Yes
"Baldwin City Public Library","Adult - self registered during the pandemic",,,,,
"Baldwin City Public Library","Adult - temporary",,,,,
"Baldwin City Public Library","Highland Community College - community member",,,,,
"Baldwin City Public Library","Highland Community College - faculty",,,,,
"Baldwin City Public Library","Highland Community College - faculty outreach",,,,,
"Baldwin City Public Library","Highland Community College - staff",,,,,
"Baldwin City Public Library","Highland Community College - student",,,,,
"Baldwin City Public Library","Highland Community College - student outreach",,,,,
"Baldwin City Public Library","Louisburg - Hoopla access",,,,,
"Baldwin City Public Library","Minor - (age 00-11)",,,,,
"Baldwin City Public Library","Minor - (age 00-17)",393,2,2,,Yes
"Baldwin City Public Library","Minor - (age 12)",,,,,
"Baldwin City Public Library","Minor - (age 13-17)",,,,,
"Baldwin City Public Library","Minor - digital only (age 00-11)",,,,,
"Baldwin City Public Library","Minor - digital only (age 00-17)",,,,,
"Baldwin City Public Library","Minor - digital only (age 12)",,,,,
"Baldwin City Public Library","Minor - digital only (ages 13-17)",,,,,
"Baldwin City Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Baldwin City Public Library","Minor - other (age 00-17)",219,4,,,Yes
"Baldwin City Public Library","Minor - temporary",,,,,
"Baldwin City Public Library","Organization - book club",,,,,Yes
"Baldwin City Public Library","Organization - interlibrary loan (exempt-ILL)",3,,,,Yes
"Baldwin City Public Library","Staff - in house use (exempt)",,,,,
"Baldwin City Public Library","Staff - library associate (exempt)",15,1,,,Yes
"Baldwin City Public Library","Staff - Permissions template",,,,,
"Baldwin City Public Library","Staff - SIP user",1,,,,
"Baldwin City Public Library","Staff - statistical purposes",16,,,,Yes
"Baldwin City Public Library","Staff - system login (exempt)",23,,,,
"Baldwin City Public Library","Student (exempt)",,,,,
"Baldwin City Public Library","Student (public library)",,,,,
"Baldwin City Public Library","Teacher/Faculty/Administrator (exempt)",3,,,,Yes
"Baldwin City Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Basehor Community Library",Adult,4957,114,23,1,Yes
"Basehor Community Library","Adult - college student",,,,,
"Basehor Community Library","Adult - digital only",,,,,
"Basehor Community Library","Adult - homebound",,,,,
"Basehor Community Library","Adult - library associate",,,,,
"Basehor Community Library","Adult - library board of trustees",,,,,
"Basehor Community Library","Adult - other",398,5,,,Yes
"Basehor Community Library","Adult - self registered during the pandemic",,,,,
"Basehor Community Library","Adult - temporary",,,,,
"Basehor Community Library","Highland Community College - community member",,,,,
"Basehor Community Library","Highland Community College - faculty",,,,,
"Basehor Community Library","Highland Community College - faculty outreach",,,,,
"Basehor Community Library","Highland Community College - staff",,,,,
"Basehor Community Library","Highland Community College - student",,,,,
"Basehor Community Library","Highland Community College - student outreach",,,,,
"Basehor Community Library","Louisburg - Hoopla access",,,,,
"Basehor Community Library","Minor - (age 00-11)",1,,,,
"Basehor Community Library","Minor - (age 00-17)",1428,18,15,,Yes
"Basehor Community Library","Minor - (age 12)",,,,,
"Basehor Community Library","Minor - (age 13-17)",2,,,,
"Basehor Community Library","Minor - digital only (age 00-11)",,,,,
"Basehor Community Library","Minor - digital only (age 00-17)",,,,,
"Basehor Community Library","Minor - digital only (age 12)",,,,,
"Basehor Community Library","Minor - digital only (ages 13-17)",,,,,
"Basehor Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Basehor Community Library","Minor - other (age 00-17)",24,,,,Yes
"Basehor Community Library","Minor - temporary",,,,,
"Basehor Community Library","Organization - book club",,,,,Yes
"Basehor Community Library","Organization - interlibrary loan (exempt-ILL)",3,,,,Yes
"Basehor Community Library","Staff - in house use (exempt)",7,,,,Yes
"Basehor Community Library","Staff - library associate (exempt)",2,,,,Yes
"Basehor Community Library","Staff - Permissions template",,,,,
"Basehor Community Library","Staff - SIP user",10,,,,
"Basehor Community Library","Staff - statistical purposes",1,,,,Yes
"Basehor Community Library","Staff - system login (exempt)",24,,,,
"Basehor Community Library","Student (exempt)",,,,,
"Basehor Community Library","Student (public library)",,,,,
"Basehor Community Library","Teacher/Faculty/Administrator (exempt)",1,,,,Yes
"Basehor Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Bern Community Library",Adult,111,3,,,Yes
"Bern Community Library","Adult - college student",,,,,
"Bern Community Library","Adult - digital only",,,,,
"Bern Community Library","Adult - homebound",,,,,
"Bern Community Library","Adult - library associate",,,,,
"Bern Community Library","Adult - library board of trustees",,,,,
"Bern Community Library","Adult - other",19,,,,Yes
"Bern Community Library","Adult - self registered during the pandemic",,,,,
"Bern Community Library","Adult - temporary",,,,,
"Bern Community Library","Highland Community College - community member",,,,,
"Bern Community Library","Highland Community College - faculty",,,,,
"Bern Community Library","Highland Community College - faculty outreach",,,,,
"Bern Community Library","Highland Community College - staff",,,,,
"Bern Community Library","Highland Community College - student",,,,,
"Bern Community Library","Highland Community College - student outreach",,,,,
"Bern Community Library","Louisburg - Hoopla access",,,,,
"Bern Community Library","Minor - (age 00-11)",,,,,
"Bern Community Library","Minor - (age 00-17)",21,,2,,Yes
"Bern Community Library","Minor - (age 12)",,,,,
"Bern Community Library","Minor - (age 13-17)",,,,,
"Bern Community Library","Minor - digital only (age 00-11)",,,,,
"Bern Community Library","Minor - digital only (age 00-17)",,,,,
"Bern Community Library","Minor - digital only (age 12)",,,,,
"Bern Community Library","Minor - digital only (ages 13-17)",,,,,
"Bern Community Library","Minor - Osawatomie student (age 00-17)",,,,,
