Library,"Items owned by this library checked out at this library this month","Items owned by other libraries checked out at this library this month","Total circulation this month"
"Atchison Public Library",3894,1468,5362
"Baldwin City Public Library",2403,450,2853
"Basehor Community Library",7590,1092,8682
"Bern Community Library",130,22,152
"Bonner Springs City Library",4779,1141,5920
"Burlingame Community Library",420,243,663
"Carbondale City Library",470,70,540
"Centralia Community Library",310,70,380
"Corning City Library",9,2,11
"Digital Content",,,
"Doniphan County Library - Elwood",144,41,185
"Doniphan County Library - Highland",272,182,454
"Doniphan County Library - Troy",446,128,574
"Doniphan County Library - Wathena",419,97,516
"Effingham Community Library",192,19,211
"Eudora Community Library",1499,593,2092
"Everest, Barnes Reading Room",110,67,177
"Hiawatha, Morrill Public Library",1606,629,2235
"Highland Community College",32,4,36
"Holton, Beck-Bookman Library",1750,405,2155
"Horton Public Library",90,31,121
"Lansing Community Library",1736,766,2502
"Leavenworth Public Library",8176,2023,10199
"Linwood Community Library",567,208,775
"Louisburg Library",,,
"Lyndon Carnegie Library",411,278,689
"McLouth Public Library",160,44,204
"Meriden-Ozawkie Public Library",1275,570,1845
"Northeast Kansas Library System",10,24,34
"Nortonville Public Library",260,86,346
"Osage City Library",1421,419,1840
"Osawatomie Public Library",782,344,1126
"Oskaloosa Public Library",473,216,689
"Ottawa Library",5953,853,6806
"Overbrook Public Library",921,192,1113
"Paola Free Library",3133,435,3568
"Perry-Lecompton Community Library",80,19,99
"Pomona Community Library",104,74,178
"Prairie Hills Schools - Axtell Public School",488,35,523
"Prairie Hills Schools - Sabetha Elementary School",2079,86,2165
"Prairie Hills Schools - Sabetha High School",30,2,32
"Prairie Hills Schools - Sabetha Middle School",168,15,183
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,
"Richmond Public Library",415,77,492
"Rossville Community Library",1271,507,1778
"Sabetha, Mary Cotton Library",2903,930,3833
"Seneca Free Library",1404,229,1633
"Silver Lake Library",1025,457,1482
"Tonganoxie Public Library",3003,1043,4046
"Valley Falls, Delaware Township Library",377,163,540
"Wellsville City Library",1095,458,1553
"Wetmore Public Library",163,100,263
"Williamsburg Community Library",399,3,402
"Winchester Public Library",365,340,705
