branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-25,2023-12-26,2023-12-27,2023-12-28,2023-12-29,2023-12-30,2023-12-31,"2023-12-01 - 2023-12-31"
" DAY",Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,-
"Atchison Public Library",48,56,6,61,46,49,58,39,31,5,43,56,63,49,51,24,6,73,48,58,61,51,35,2,5,43,48,56,55,29,4,556
"Baldwin City Public Library",23,14,,38,42,26,38,27,21,5,37,28,35,28,20,11,,35,38,28,40,31,15,4,3,6,49,27,35,21,1,303
"Basehor Community Library",62,53,43,93,74,77,63,48,54,44,81,68,79,75,60,69,43,75,81,79,72,51,53,4,4,61,81,80,53,57,8,832
"Bern Community Library",1,10,,2,,4,2,1,3,,1,,6,2,1,3,,2,,3,1,1,1,,,,2,3,1,1,,24
"Bonner Springs City Library",38,45,25,52,59,64,43,36,35,26,67,53,57,54,38,31,25,65,59,68,58,58,38,1,5,8,61,62,52,46,19,624
"Burlingame Community Library",5,5,,4,2,6,6,2,3,1,5,5,12,1,2,,,5,4,11,5,8,1,,,1,8,7,6,3,,60
"Carbondale City Library",5,2,,10,10,6,14,7,11,,8,10,6,11,5,9,,7,13,10,12,11,,,,5,6,8,15,9,,93
"Centralia Community Library",5,4,1,9,,9,2,9,2,,12,,5,2,8,4,,3,,16,8,14,,,,,5,4,15,3,,50
"Corning City Library",,,,,4,2,,,,,,,1,,,1,,,,4,,2,,,,,1,,,,,12
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",2,2,,3,,2,2,3,,,,5,,1,1,,,3,2,2,1,,,,,,2,3,1,,,23
"Doniphan County Library - Highland",4,1,,9,4,7,3,5,1,,3,7,10,6,3,2,,5,6,5,5,,,1,,3,6,6,10,,,42
"Doniphan County Library - Troy",9,5,,10,9,15,17,4,6,1,11,10,15,12,7,1,1,14,9,11,23,,,,,11,5,8,19,1,,120
"Doniphan County Library - Wathena",10,3,,13,8,1,5,1,5,,8,3,10,6,5,4,,3,,2,7,,,,,6,5,6,5,,,53
"Effingham Community Library",2,3,,5,5,5,5,1,5,,3,2,9,3,2,2,,5,4,12,5,1,2,,,,5,2,1,7,,34
"Eudora Community Library",18,12,2,30,28,30,13,13,16,2,31,24,19,19,18,13,,30,23,31,21,23,10,3,1,3,37,24,19,21,2,205
"Everest, Barnes Reading Room",1,4,,,1,3,3,1,1,,,3,4,1,,2,,,3,4,3,3,1,,,,1,2,2,2,,22
"Hiawatha, Morrill Public Library",14,15,,34,22,21,23,19,14,1,30,30,24,24,13,14,1,31,37,4,40,26,10,,,17,23,31,23,14,3,259
"Highland Community College",1,,1,2,3,,3,,,,1,2,,,,,,,1,,,,,,,,,,,,,10
"Holton, Beck-Bookman Library",19,12,3,30,37,32,26,16,9,,34,24,27,26,24,10,,30,36,28,26,46,,,,18,15,24,31,1,,266
"Horton Public Library",4,1,,7,6,3,3,3,,,3,4,4,2,4,2,,2,4,12,,5,,,,2,7,8,3,1,,44
"Lansing Community Library",33,17,5,28,35,25,24,26,25,1,28,26,29,39,25,25,5,48,35,31,36,37,5,3,2,21,30,36,29,16,6,352
"Leavenworth Public Library",82,73,53,79,103,104,93,84,94,33,90,96,97,86,83,73,30,87,87,73,97,90,12,9,6,98,94,116,82,68,18,997
"Linwood Community Library",11,5,,12,6,10,5,8,6,,9,14,9,7,11,12,,10,12,6,8,15,2,1,,9,13,5,13,6,,97
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",,4,1,10,10,7,5,,8,2,12,7,8,6,,5,,15,8,15,5,1,,,1,9,10,9,2,11,1,89
"McLouth Public Library",2,2,,2,2,2,4,3,3,1,1,,4,7,2,1,,1,8,1,2,2,,,,2,3,1,4,,,30
