Library,"Borrower category","Total items checked out/renewed","Adult items checked out/renewed","Young-adult items checked out/renewed","Juvenile items checked out/renewed","Other items checked out/renewed"
"Atchison Public Library",Adult,4067,2031,244,1792,
"Atchison Public Library","Adult - college student",65,23,19,23,
"Atchison Public Library","Adult - digital only",,,,,
"Atchison Public Library","Adult - homebound",63,63,,,
"Atchison Public Library","Adult - library associate",,,,,
"Atchison Public Library","Adult - library board of trustees",,,,,
"Atchison Public Library","Adult - other",485,315,8,162,
"Atchison Public Library","Adult - self registered during the pandemic",,,,,
"Atchison Public Library","Adult - temporary",,,,,
"Atchison Public Library","Highland Community College - community member",,,,,
"Atchison Public Library","Highland Community College - faculty",,,,,
"Atchison Public Library","Highland Community College - faculty outreach",,,,,
"Atchison Public Library","Highland Community College - staff",,,,,
"Atchison Public Library","Highland Community College - student",,,,,
"Atchison Public Library","Highland Community College - student outreach",,,,,
"Atchison Public Library","Louisburg - Hoopla access",,,,,
"Atchison Public Library","Minor - (age 00-11)",15,,,15,
"Atchison Public Library","Minor - (age 00-17)",313,80,43,190,
"Atchison Public Library","Minor - (age 12)",,,,,
"Atchison Public Library","Minor - (age 13-17)",16,5,,11,
"Atchison Public Library","Minor - digital only (age 00-11)",,,,,
"Atchison Public Library","Minor - digital only (age 00-17)",,,,,
"Atchison Public Library","Minor - digital only (age 12)",,,,,
"Atchison Public Library","Minor - digital only (ages 13-17)",,,,,
"Atchison Public Library","Minor - Osawatomie student (age 00-17)",,,,,
"Atchison Public Library","Minor - other (age 00-17)",14,2,12,,
"Atchison Public Library","Minor - temporary",,,,,
"Atchison Public Library","Organization - book club",,,,,
"Atchison Public Library","Organization - interlibrary loan (exempt-ILL)",72,58,4,10,
"Atchison Public Library","Staff - in house use (exempt)",69,54,7,8,
"Atchison Public Library","Staff - library associate (exempt)",72,17,7,48,
"Atchison Public Library","Staff - Permissions template",,,,,
"Atchison Public Library","Staff - SIP user",,,,,
"Atchison Public Library","Staff - statistical purposes",,,,,
"Atchison Public Library","Staff - system login (exempt)",,,,,
"Atchison Public Library","Student (exempt)",,,,,
"Atchison Public Library","Student (public library)",,,,,
"Atchison Public Library","Teacher/Faculty/Administrator (exempt)",18,2,3,13,
"Atchison Public Library","Teacher/Faculty/Administrator (public library)",,,,,
"Baldwin City Public Library",Adult,1776,892,43,839,2
"Baldwin City Public Library","Adult - college student",10,9,1,,
"Baldwin City Public Library","Adult - digital only",,,,,
"Baldwin City Public Library","Adult - homebound",3,3,,,
"Baldwin City Public Library","Adult - library associate",,,,,
"Baldwin City Public Library","Adult - library board of trustees",56,25,8,23,
"Baldwin City Public Library","Adult - other",906,405,27,474,
"Baldwin City Public Library","Adult - self registered during the pandemic",,,,,
"Baldwin City Public Library","Adult - temporary",,,,,
"Baldwin City Public Library","Highland Community College - community member",,,,,
"Baldwin City Public Library","Highland Community College - faculty",,,,,
"Baldwin City Public Library","Highland Community College - faculty outreach",,,,,
"Baldwin City Public Library","Highland Community College - staff",,,,,
"Baldwin City Public Library","Highland Community College - student",,,,,
"Baldwin City Public Library","Highland Community College - student outreach",,,,,
"Baldwin City Public Library","Louisburg - Hoopla access",,,,,
"Baldwin City Public Library","Minor - (age 00-11)",,,,,
"Baldwin City Public Library","Minor - (age 00-17)",126,41,22,63,
"Baldwin City Public Library","Minor - (age 12)",,,,,
"Baldwin City Public Library","Minor - (age 13-17)",,,,,
"Baldwin City Public Library","Minor - digital only (age 00-11)",,,,,
"Baldwin City Public Library","Minor - digital only (age 00-17)",,,,,
"Baldwin City Public Library","Minor - digital only (age 12)",,,,,
"Baldwin City Public Library","Minor - digital only (ages 13-17)",,,,,
"Baldwin City Public Library","Minor - Osawatomie student (age 00-17)",,,,,
