Library,"Borrower zipcode","Checkouts + renewals"
"Atchison Public Library",-,17
"Atchison Public Library",0,110
"Atchison Public Library",64484,34
"Atchison Public Library",64505,3
"Atchison Public Library",66002,4762
"Atchison Public Library",66008,37
"Atchison Public Library",66016,34
"Atchison Public Library",66017,3
"Atchison Public Library",66020,42
"Atchison Public Library",66023,37
"Atchison Public Library",66035,7
"Atchison Public Library",66041,78
"Atchison Public Library",66043,4
"Atchison Public Library",66048,15
"Atchison Public Library",66052,4
"Atchison Public Library",66058,7
"Atchison Public Library",66060,1
"Atchison Public Library",66086,5
"Atchison Public Library",66097,14
"Atchison Public Library",66424,31
"Atchison Public Library",66439,19
"Atchison Public Library",66512,3
"Atchison Public Library",66532,2
"Baldwin City Public Library",0,31
"Baldwin City Public Library",66006,2528
"Baldwin City Public Library",66025,67
"Baldwin City Public Library",66030,17
"Baldwin City Public Library",66046,29
"Baldwin City Public Library",66047,212
"Baldwin City Public Library",66048,5
"Baldwin City Public Library",66049,11
"Baldwin City Public Library",66050,5
"Baldwin City Public Library",66067,43
"Baldwin City Public Library",66086,2
"Baldwin City Public Library",66092,161
"Baldwin City Public Library",66524,17
"Basehor Community Library",-,22
"Basehor Community Library",0,204
"Basehor Community Library",66002,1
"Basehor Community Library",66007,5225
"Basehor Community Library",66012,598
"Basehor Community Library",66030,16
"Basehor Community Library",66043,156
"Basehor Community Library",66044,36
"Basehor Community Library",66046,49
"Basehor Community Library",66047,4
"Basehor Community Library",66048,537
"Basehor Community Library",66049,2
"Basehor Community Library",66052,30
"Basehor Community Library",66054,7
"Basehor Community Library",66061,7
"Basehor Community Library",66066,2
"Basehor Community Library",66086,957
"Basehor Community Library",66097,2
"Basehor Community Library",66102,9
"Basehor Community Library",66104,4
"Basehor Community Library",66109,1004
"Basehor Community Library",66111,5
"Basehor Community Library",66112,3
"Basehor Community Library",66226,3
"Basehor Community Library",66227,6
"Basehor Community Library",66614,19
"Bern Community Library",-,32
"Bern Community Library",66408,94
"Bern Community Library",66534,17
"Bonner Springs City Library",-,66
"Bonner Springs City Library",0,611
"Bonner Springs City Library",66007,87
"Bonner Springs City Library",66012,3508
"Bonner Springs City Library",66018,4
"Bonner Springs City Library",66021,85
"Bonner Springs City Library",66030,1
"Bonner Springs City Library",66043,88
"Bonner Springs City Library",66048,24
"Bonner Springs City Library",66052,81
"Bonner Springs City Library",66053,14
"Bonner Springs City Library",66061,79
"Bonner Springs City Library",66062,6
"Bonner Springs City Library",66066,3
"Bonner Springs City Library",66086,59
"Bonner Springs City Library",66092,1
"Bonner Springs City Library",66102,6
"Bonner Springs City Library",66109,651
"Bonner Springs City Library",66111,632
"Bonner Springs City Library",66113,152
"Bonner Springs City Library",66212,8
"Bonner Springs City Library",66213,2
"Bonner Springs City Library",66215,13
"Bonner Springs City Library",66216,50
"Bonner Springs City Library",66218,155
"Bonner Springs City Library",66226,277
"Bonner Springs City Library",66227,48
"Bonner Springs City Library",66440,1
"Bonner Springs City Library",66441,2
"Bonner Springs City Library",66502,2
"Bonner Springs City Library",66508,1
"Bonner Springs City Library",66536,1
"Bonner Springs City Library",66547,3
"Bonner Springs City Library",66749,2
"Bonner Springs City Library",66801,1
"Bonner Springs City Library",66839,1
"Bonner Springs City Library",66945,1
"Bonner Springs City Library",67042,1
"Bonner Springs City Library",67401,2
"Bonner Springs City Library",67439,1
"Bonner Springs City Library",67501,1
"Bonner Springs City Library",67550,1
"Bonner Springs City Library",67654,2
"Bonner Springs City Library",67701,2
"Burlingame Community Library",0,3
"Burlingame Community Library",66413,468
"Burlingame Community Library",66414,32
"Burlingame Community Library",66431,2
"Burlingame Community Library",66523,34
"Burlingame Community Library",66528,3
"Carbondale City Library",66409,5
"Carbondale City Library",66413,7
"Carbondale City Library",66414,370
"Carbondale City Library",66523,19
"Carbondale City Library",66537,100
"Carbondale City Library",66546,37
"Carbondale City Library",66605,6
"Carbondale City Library",66611,8
"Carbondale City Library",66615,24
"Centralia Community Library",66060,2
"Centralia Community Library",66415,283
"Centralia Community Library",66521,2
"Centralia Community Library",66538,1
"Centralia Community Library",66544,4
"Corning City Library",0,21
"Corning City Library",66406,21
"Corning City Library",66415,8
"Corning City Library",66417,16
"Corning City Library",66544,1
"Doniphan County Library - Elwood",66024,59
"Doniphan County Library - Elwood",66035,9
"Doniphan County Library - Elwood",66087,48
"Doniphan County Library - Elwood",66090,18
"Doniphan County Library - Highland",-,1
"Doniphan County Library - Highland",0,1
"Doniphan County Library - Highland",66008,7
"Doniphan County Library - Highland",66017,29
"Doniphan County Library - Highland",66035,305
"Doniphan County Library - Highland",66087,12
"Doniphan County Library - Highland",66434,2
"Doniphan County Library - Troy",64501,1
