branchname,ZIP_CODE,BORROWER_COUNT,RENEWED_LM,ADDED_LM,DELETED_LM
"Atchison Public Library",-,27,1,,
"Atchison Public Library",0,57,1,2,
"Atchison Public Library",64079,2,,,
"Atchison Public Library",64152,2,,,
"Atchison Public Library",64484,114,2,,
"Atchison Public Library",64501,7,,,
"Atchison Public Library",64503,3,,,
"Atchison Public Library",64504,7,,,
"Atchison Public Library",64505,4,,,
"Atchison Public Library",64506,7,,,
"Atchison Public Library",64507,5,,,
"Atchison Public Library",66002,5928,113,21,3
"Atchison Public Library",66008,13,,,
"Atchison Public Library",66012,2,,,
"Atchison Public Library",66016,121,2,2,
"Atchison Public Library",66017,13,,,
"Atchison Public Library",66020,26,1,,
"Atchison Public Library",66023,81,,1,
"Atchison Public Library",66024,1,,,
"Atchison Public Library",66027,1,,,
"Atchison Public Library",66035,7,,,
"Atchison Public Library",66041,126,5,3,
"Atchison Public Library",66043,7,,,
"Atchison Public Library",66044,11,,,
"Atchison Public Library",66047,8,,8,
"Atchison Public Library",66048,32,,,
"Atchison Public Library",66049,7,,,
"Atchison Public Library",66053,1,,,
"Atchison Public Library",66058,24,,,
"Atchison Public Library",66060,36,1,,
"Atchison Public Library",66061,4,,,
"Atchison Public Library",66062,1,,,
"Atchison Public Library",66072,1,,,
"Atchison Public Library",66083,1,,,
"Atchison Public Library",66087,12,,,
"Atchison Public Library",66088,12,,,
"Atchison Public Library",66090,4,,,
"Atchison Public Library",66097,8,,,
"Atchison Public Library",66104,1,,,
"Atchison Public Library",66106,1,,,
"Atchison Public Library",66109,3,,,
"Atchison Public Library",66202,2,,,
"Atchison Public Library",66203,1,,,
"Atchison Public Library",66212,1,,,
"Atchison Public Library",66213,2,,,
"Atchison Public Library",66215,2,,,
"Atchison Public Library",66216,2,,,
"Atchison Public Library",66422,1,,,
"Atchison Public Library",66424,25,1,,
"Atchison Public Library",66434,3,,,
"Atchison Public Library",66436,6,,,
"Atchison Public Library",66439,15,,1,
"Atchison Public Library",66509,3,,,
"Atchison Public Library",66512,1,,,
"Atchison Public Library",66523,1,,,
"Atchison Public Library",66532,7,,,
"Atchison Public Library",66534,2,,,
"Atchison Public Library",66552,1,,,
"Atchison Public Library",66604,2,,,
"Atchison Public Library",66606,1,,,
"Atchison Public Library",66607,1,,,
"Atchison Public Library",66610,1,,1,
"Atchison Public Library",66614,1,,,
"Atchison Public Library",66618,1,,,
"Atchison Public Library",66619,1,,,
"Baldwin City Public Library",-,3,,,
"Baldwin City Public Library",0,73,,1,1
"Baldwin City Public Library",64152,1,,,
"Baldwin City Public Library",66006,3528,59,18,
"Baldwin City Public Library",66007,4,,,
"Baldwin City Public Library",66018,1,,,
"Baldwin City Public Library",66021,32,,,
"Baldwin City Public Library",66025,52,1,,
"Baldwin City Public Library",66030,20,1,,
"Baldwin City Public Library",66032,1,,,
"Baldwin City Public Library",66043,1,,,
"Baldwin City Public Library",66044,34,1,,
"Baldwin City Public Library",66046,65,1,,
"Baldwin City Public Library",66047,50,2,9,
"Baldwin City Public Library",66048,2,,,
"Baldwin City Public Library",66049,31,,1,
"Baldwin City Public Library",66050,1,,,
"Baldwin City Public Library",66053,1,,,
"Baldwin City Public Library",66061,10,,,
"Baldwin City Public Library",66062,2,,,
"Baldwin City Public Library",66064,1,,,
"Baldwin City Public Library",66067,66,1,1,
"Baldwin City Public Library",66071,3,,,
"Baldwin City Public Library",66073,1,,,
"Baldwin City Public Library",66076,7,,,
"Baldwin City Public Library",66078,1,,,
"Baldwin City Public Library",66079,2,,,
"Baldwin City Public Library",66083,2,,,
"Baldwin City Public Library",66086,3,,,
"Baldwin City Public Library",66088,2,,,
"Baldwin City Public Library",66092,109,2,,
"Baldwin City Public Library",66104,2,,,
"Baldwin City Public Library",66109,2,,,
"Baldwin City Public Library",66112,1,,,
"Baldwin City Public Library",66202,2,,,
"Baldwin City Public Library",66203,1,,,
"Baldwin City Public Library",66212,6,,,
"Baldwin City Public Library",66213,1,,,
"Baldwin City Public Library",66226,1,,,
"Baldwin City Public Library",66409,1,,,
"Baldwin City Public Library",66413,1,,,
"Baldwin City Public Library",66414,1,,,
"Baldwin City Public Library",66434,3,,,
"Baldwin City Public Library",66503,1,,,
"Baldwin City Public Library",66524,45,1,,
"Baldwin City Public Library",66532,1,,,
"Baldwin City Public Library",66538,1,,,
"Baldwin City Public Library",66542,1,,,
"Baldwin City Public Library",66604,1,,,
"Baldwin City Public Library",66605,1,,,
"Baldwin City Public Library",66610,2,,,
"Baldwin City Public Library",66614,2,,,
"Baldwin City Public Library",66856,1,,,
"Basehor Community Library",-,6,,1,
"Basehor Community Library",0,78,3,,
"Basehor Community Library",64079,1,,,
"Basehor Community Library",64152,2,,,
"Basehor Community Library",64506,1,,,
"Basehor Community Library",66002,1,,,
"Basehor Community Library",66007,4469,98,27,1
"Basehor Community Library",66012,511,8,2,
"Basehor Community Library",66016,1,,,
"Basehor Community Library",66018,5,,,
"Basehor Community Library",66020,6,,,
"Basehor Community Library",66025,3,,,
"Basehor Community Library",66027,3,,,
"Basehor Community Library",66030,2,,,
"Basehor Community Library",66032,1,,,
"Basehor Community Library",66040,1,,,
"Basehor Community Library",66043,74,1,,
"Basehor Community Library",66044,21,,,
"Basehor Community Library",66046,8,,,
"Basehor Community Library",66047,10,,9,
"Basehor Community Library",66048,225,10,,
"Basehor Community Library",66049,13,,,
"Basehor Community Library",66052,63,2,,
"Basehor Community Library",66053,2,,,
"Basehor Community Library",66054,25,,,
"Basehor Community Library",66061,9,,,
"Basehor Community Library",66062,5,,,
"Basehor Community Library",66066,1,,,
"Basehor Community Library",66073,3,,,
"Basehor Community Library",66086,629,15,2,
"Basehor Community Library",66087,1,,,
"Basehor Community Library",66088,1,,,
"Basehor Community Library",66092,1,,,
"Basehor Community Library",66097,1,,,
"Basehor Community Library",66102,18,,,
"Basehor Community Library",66103,4,,,
"Basehor Community Library",66104,12,,1,
"Basehor Community Library",66106,11,,,
"Basehor Community Library",66109,512,11,6,
"Basehor Community Library",66111,41,,,
"Basehor Community Library",66112,19,,,
"Basehor Community Library",66113,9,,,
"Basehor Community Library",66202,2,,,
"Basehor Community Library",66203,6,,,
"Basehor Community Library",66212,4,,,
"Basehor Community Library",66213,3,,,
"Basehor Community Library",66215,9,,,
"Basehor Community Library",66216,8,,,
"Basehor Community Library",66218,18,,,
"Basehor Community Library",66226,31,,,
"Basehor Community Library",66227,5,,,
"Basehor Community Library",66402,1,,,
"Basehor Community Library",66434,1,,,
"Basehor Community Library",66512,1,,,
"Basehor Community Library",66609,1,,,
"Basehor Community Library",66611,1,,,
"Basehor Community Library",66614,2,1,,
"Basehor Community Library",67401,1,,,
"Bern Community Library",-,7,,,
"Bern Community Library",0,6,,,
"Bern Community Library",64501,1,,,
"Bern Community Library",66047,8,,8,
"Bern Community Library",66049,1,,,
"Bern Community Library",66403,2,,,
"Bern Community Library",66408,143,1,,
"Bern Community Library",66534,12,,,
"Bern Community Library",66538,9,,,
"Bern Community Library",66544,1,,,
"Bonner Springs City Library",-,38,1,1,
"Bonner Springs City Library",0,68,,,
"Bonner Springs City Library",64079,1,,,
"Bonner Springs City Library",64152,5,,,
