Library,"Other Next library materials checked out at our library","Our materials checked out at other Next libraries",NET,"Net borrower","Net lender","Borrowed to lent ratio"
"Atchison Public Library",1329,1284,45,"We borrowerd more than we lent",,"1.04 : 1"
"Baldwin City Public Library",534,401,133,"We borrowerd more than we lent",,"1.33 : 1"
"Basehor Community Library",1209,1168,41,"We borrowerd more than we lent",,"1.04 : 1"
"Bern Community Library",35,130,-95,,"We lent more than we borrowed","0.27 : 1"
"Bonner Springs City Library",1109,1358,-249,,"We lent more than we borrowed","0.82 : 1"
"Burlingame Community Library",257,133,124,"We borrowerd more than we lent",,"1.93 : 1"
"Carbondale City Library",85,160,-75,,"We lent more than we borrowed","0.53 : 1"
"Centralia Community Library",57,78,-21,,"We lent more than we borrowed","0.73 : 1"
"Corning City Library",1,35,-34,,"We lent more than we borrowed","0.03 : 1"
"Digital Content",0,0,0,,,
"Doniphan County Library - Elwood",21,26,-5,,"We lent more than we borrowed","0.81 : 1"
"Doniphan County Library - Highland",170,107,63,"We borrowerd more than we lent",,"1.59 : 1"
"Doniphan County Library - Troy",152,274,-122,,"We lent more than we borrowed","0.55 : 1"
"Doniphan County Library - Wathena",66,159,-93,,"We lent more than we borrowed","0.42 : 1"
"Effingham Community Library",50,164,-114,,"We lent more than we borrowed","0.30 : 1"
"Eudora Community Library",619,444,175,"We borrowerd more than we lent",,"1.39 : 1"
"Everest, Barnes Reading Room",85,98,-13,,"We lent more than we borrowed","0.87 : 1"
"Hiawatha, Morrill Public Library",615,429,186,"We borrowerd more than we lent",,"1.43 : 1"
"Highland Community College",4,61,-57,,"We lent more than we borrowed","0.07 : 1"
"Holton, Beck-Bookman Library",423,340,83,"We borrowerd more than we lent",,"1.24 : 1"
"Horton Public Library",16,151,-135,,"We lent more than we borrowed","0.11 : 1"
"Lansing Community Library",619,366,253,"We borrowerd more than we lent",,"1.69 : 1"
"Leavenworth Public Library",1721,1144,577,"We borrowerd more than we lent",,"1.50 : 1"
"Linwood Community Library",158,297,-139,,"We lent more than we borrowed","0.53 : 1"
"Louisburg Library",0,0,0,,,
"Lyndon Carnegie Library",255,218,37,"We borrowerd more than we lent",,"1.17 : 1"
"McLouth Public Library",58,113,-55,,"We lent more than we borrowed","0.51 : 1"
"Meriden-Ozawkie Public Library",528,422,106,"We borrowerd more than we lent",,"1.25 : 1"
"Northeast Kansas Library System",65,22,43,"We borrowerd more than we lent",,"2.95 : 1"
"Nortonville Public Library",67,302,-235,,"We lent more than we borrowed","0.22 : 1"
"Osage City Library",361,513,-152,,"We lent more than we borrowed","0.70 : 1"
"Osawatomie Public Library",336,485,-149,,"We lent more than we borrowed","0.69 : 1"
"Oskaloosa Public Library",147,107,40,"We borrowerd more than we lent",,"1.37 : 1"
"Ottawa Library",787,1111,-324,,"We lent more than we borrowed","0.71 : 1"
"Overbrook Public Library",176,410,-234,,"We lent more than we borrowed","0.43 : 1"
"Paola Free Library",450,286,164,"We borrowerd more than we lent",,"1.57 : 1"
"Perry-Lecompton Community Library",25,168,-143,,"We lent more than we borrowed","0.15 : 1"
"Prairie Hills Schools - Axtell Public School",71,89,-18,,"We lent more than we borrowed","0.80 : 1"
"Prairie Hills Schools - Sabetha Elementary School",101,96,5,"We borrowerd more than we lent",,"1.05 : 1"
"Prairie Hills Schools - Sabetha High School",2,32,-30,,"We lent more than we borrowed","0.06 : 1"
"Prairie Hills Schools - Sabetha Middle School",10,27,-17,,"We lent more than we borrowed","0.37 : 1"
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,,,
"Pomona Community Library",47,59,-12,,"We lent more than we borrowed","0.80 : 1"
"Richmond Public Library",71,126,-55,,"We lent more than we borrowed","0.56 : 1"
"Rossville Community Library",515,628,-113,,"We lent more than we borrowed","0.82 : 1"
"Sabetha, Mary Cotton Library",1087,551,536,"We borrowerd more than we lent",,"1.97 : 1"
"Seneca Free Library",264,673,-409,,"We lent more than we borrowed","0.39 : 1"
"Silver Lake Library",513,251,262,"We borrowerd more than we lent",,"2.04 : 1"
"Tonganoxie Public Library",906,441,465,"We borrowerd more than we lent",,"2.05 : 1"
"Valley Falls, Delaware Township Library",187,154,33,"We borrowerd more than we lent",,"1.21 : 1"
"Wellsville City Library",322,399,-77,,"We lent more than we borrowed","0.81 : 1"
"Wetmore Public Library",113,218,-105,,"We lent more than we borrowed","0.52 : 1"
"Williamsburg Community Library",15,207,-192,,"We lent more than we borrowed","0.07 : 1"
"Winchester Public Library",300,199,101,"We borrowerd more than we lent",,"1.51 : 1"
