Library,"Items owned by this library checked out at this library this month","Items owned by other libraries checked out at this library this month","Total circulation this month"
"Atchison Public Library",3940,1329,5269
"Baldwin City Public Library",2594,534,3128
"Basehor Community Library",7699,1209,8908
"Bern Community Library",108,35,143
"Bonner Springs City Library",5627,1109,6736
"Burlingame Community Library",285,257,542
"Carbondale City Library",491,85,576
"Centralia Community Library",235,57,292
"Corning City Library",66,1,67
"Digital Content",,,
"Doniphan County Library - Elwood",113,21,134
"Doniphan County Library - Highland",187,170,357
"Doniphan County Library - Troy",525,152,677
"Doniphan County Library - Wathena",323,66,389
"Effingham Community Library",224,50,274
"Eudora Community Library",1503,619,2122
"Everest, Barnes Reading Room",41,85,126
"Hiawatha, Morrill Public Library",1505,615,2120
"Highland Community College",18,4,22
"Holton, Beck-Bookman Library",1613,423,2036
"Horton Public Library",99,16,115
"Lansing Community Library",1944,619,2563
"Leavenworth Public Library",8587,1721,10308
"Linwood Community Library",676,158,834
"Louisburg Library",,,
"Lyndon Carnegie Library",331,255,586
"McLouth Public Library",120,58,178
"Meriden-Ozawkie Public Library",969,528,1497
"Northeast Kansas Library System",15,65,80
"Nortonville Public Library",280,67,347
"Osage City Library",1186,361,1547
"Osawatomie Public Library",793,336,1129
"Oskaloosa Public Library",456,147,603
"Ottawa Library",6165,787,6952
"Overbrook Public Library",786,176,962
"Paola Free Library",2959,450,3409
"Perry-Lecompton Community Library",61,25,86
"Pomona Community Library",62,47,109
"Prairie Hills Schools - Axtell Public School",373,71,444
"Prairie Hills Schools - Sabetha Elementary School",1563,101,1664
"Prairie Hills Schools - Sabetha High School",58,2,60
"Prairie Hills Schools - Sabetha Middle School",131,10,141
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,
"Richmond Public Library",324,71,395
"Rossville Community Library",1242,515,1757
"Sabetha, Mary Cotton Library",2750,1087,3837
"Seneca Free Library",1282,264,1546
"Silver Lake Library",890,513,1403
"Tonganoxie Public Library",3110,906,4016
"Valley Falls, Delaware Township Library",302,187,489
"Wellsville City Library",1106,322,1428
"Wetmore Public Library",170,113,283
"Williamsburg Community Library",244,15,259
"Winchester Public Library",416,300,716
